nを切り捨てながらn2分の一にする	n //= n2
空の両端キュー	collections.deque()
ヒストグラムを貝殻色で描画する	plt.hist(データ列, color='seashell')
データフレームの第三四分位数	df.quantile(0.75)
データフレームをインデックスによってソートする	df.sort_index()
二つの配列を行方向に連結する	np.concatenate([aArray, aArray2], axis=1)
option: バッファリングを無効にする	buffering = 0
ヒストグラムの色をサンディーブラウンに設定する	plt.hist(データ列, color='sandybrown')
配列のトリム平均を求める	scipy.stats.tmean(配列, limits=(下限, 上限), inclusive=(True, True))
棒グラフをライム色で描画する	plt.bar(データ列x, データ列y, color='lime')
バツマーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='x')
散布図に赤い四角マーカーを使う	plt.plot(データ列x, データ列y, marker='s', c='r')
option: マーカーの色をミディアムスレートブルーにする	markerfacecolor = 'mediumslateblue'
option: マーカーの色をブランチドアーモンドにする	markerfacecolor = 'blanchedalmond'
プログラムの実行を異常終了する	sys.exit(1)
リストのn番目以降の部分を取り出す	aList[n:]
nが5で割り切れるか調べる	n % 5 == 0
データフレームをグループ化し、ある列に対し標準偏差を求める	df.groupby('列A')['列B'].std()
全要素を０で初期化した三二ビット整数型の行列	np.zeros(行数, 列数, dtype=np.int16)
option: アリスブルー色を使う	color = 'aliceblue'
散布図をライトスレイグレー色で描画する	plt.scatter(データ列x, データ列y, color='lightslategrey')
グレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='grey')
ヒストグラムをダークターコイズ色で描画する	plt.hist(データ列, color='darkturquoise')
浮動小数点数の最大値	sys.float_info.max
option: グラフの色をシエナに設定する	color = 'sienna'
ミディアムシアグリーン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='mediumseagreen')
折れ線グラフを紺碧色で描画する	plt.plot(データ列x, データ列y, color='azure')
ヒストグラムの色をライトコーラルに設定する	plt.hist(データ列, color='lightcoral')
散布図をミディアムスレートブルー色で描画する	plt.scatter(データ列x, データ列y, color='mediumslateblue')
データフレームをグループ化し、それぞれの分散を求める	df.groupby('列A').var()
option: 文字列の示すエンコーディングを使う	encoding = s
ブランチドアーモンド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='blanchedalmond')
棒グラフをブラック色で描画する	plt.bar(データ列x, データ列y, color='black')
ヒストグラムの色を紺碧に設定する	plt.hist(データ列, color='azure')
データフレームから重複ありでランダムに5行をサンプリングする	df.sample(5, replace=True)
option: グラフの色をゲインズボロに設定する	color = 'gainsboro'
折れ線グラフの色をダークスラテグレーに設定する	plt.plot(データ列x, データ列y, color='darkslategray')
nまたはn2	n or n2
横棒グラフの色をレベッカパープルにする	plt.barh(データ列x, データ列y, color='rebeccapurple')
棒グラフをブルーバイオレット色で描画する	plt.bar(データ列x, データ列y, color='blueviolet')
リストを縦軸、リストを横軸として、大きさnの散布図を描画する	plt.scatter(データ列x, データ列y, s=n)
データフレームの選択したカラムの欠損値をxで埋める	df[['列A', '列B']].fillna(x)
行列の行ごとの最大値	np.max(aArray, axis=1)
両端キューの末尾にイテラブルの各要素を追加する	deq.extend(iterable)
紺色のヒストグラムを描画する	plt.hist(データ列, color='darkblue')
散布図の色をダークマゼンタにする	plt.scatter(データ列x, データ列y, color='darkmagenta')
ヒストグラムの色をコーンフラワーブルーに設定する	plt.hist(データ列, color='cornflowerblue')
散布図をダークカーキ色で描画する	plt.scatter(データ列x, データ列y, color='darkkhaki')
ヒストグラムの色をダークオーキッドに設定する	plt.hist(データ列, color='darkorchid')
グラフの描画で明るくカラーパレットを使う	sns.set(pallete='bright')
nが2で割り切れないか調べる	n % 2 == 1
リストとリストについての散布図にポイントマーカーを描画する	plt.plot(データ列x, データ列y, marker='.')
ファイルを全部、読み込む	f.read()
データシリーズの年	ds.dt.year
データシリーズの中にいくつ欠損値があるか数える	ds.isna().sum()
データフレームの選択したカラムの中に文字列と文字列があるか調べる	df[['列A', '列B']].isin([value, value2])
日付時刻データが何分か知る	aDatetime.minute
折れ線グラフの色をカラーコードで設定する	plt.plot(データ列x, データ列y, color='#800080')
データシリーズを10の位で丸める	ds.round(-1)
option: ラベンダー色を使う	color = 'lavender'
スチールブルー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='steelblue')
散布図のマーカーを三角にする	plt.scatter(データ列x, データ列y, marker='^')
ミディアムオーキッド色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='mediumorchid')
option: マーカーの色をシエナにする	markerfacecolor = 'sienna'
折れ線グラフの色をライムに設定する	plt.plot(データ列x, データ列y, color='lime')
ISO書式の文字列を日付時刻に変換する	datetime.datetime.fromisoformat(日付の書かれた文字列)
データフレームの列間の相関行列をまとめて求める	df.corr()
散布図をクリムゾン色で描画する	plt.scatter(データ列x, データ列y, color='crimson')
コーンフラワーブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='cornflowerblue')
option: マーカーの色をライトスレイグレーにする	markerfacecolor = 'lightslategray'
折れ線グラフの色をアクアに設定する	plt.plot(データ列x, データ列y, color='aqua')
ダークオーキッド色の線グラフを描画する	plt.plot(データ列x, データ列y, color='darkorchid')
xの小数点以下'3'桁までの文字列に変換する	':.3f'.format(x)
ヒストグラムの色をブルーバイオレットに設定する	plt.hist(データ列, color='blueviolet')
option: SJISを使う	encoding = 'shift_jis'
オレンジレッド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='orangered')
両端キューの要素を右にn個分ローテンションする	deq.rotate(n)
散布図に赤い四角マーカーを描画する	plt.scatter(データ列x, データ列y, marker='s', markerfacecolor='r')
ヒストグラムをミディアムシアグリーン色で描画する	plt.hist(データ列, color='mediumseagreen')
ヒストグラムの色をダークサーモンに設定する	plt.hist(データ列, color='darksalmon')
要素が集合のメンバーか調べる	element in aSet
文字列の先頭で複数行対応として正規表現にマッチさせる	re.match(pattern, s, flags=re.MULTILINE)
散布図の色をロイヤルブルーにする	plt.scatter(データ列x, データ列y, color='royalblue')
棒グラフをスプリンググリーン色で描画する	plt.bar(データ列x, データ列y, color='springgreen')
データ列を等量でn個にビン分割する	pd.qcut(ds, n)
データ列を縦棒グラフにする	plt.bar(ラベル列, データ列)
横棒グラフの色をライトグレーにする	plt.barh(データ列x, データ列y, color='lightgray')
ダークシアグリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='darkseagreen')
エクセルファイルからシートの名前を指定してデータフレームを読み込む	pd.read_excel('file.xlsx', sheet_name=シート名)
文字列をエンコーディングでバイト列に変換する	s.encode(encoding=encoding)
スレートブルー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='slateblue')
辞書から最後の項目をポップする	aDict.popitem()
データフレームからカテゴリデータの列名を列挙する	df.select_dtypes('object').columns
日付データにn時間分、加算する	aDate + datetime.timedelta(hours=n)
折れ線グラフをアクア色で描画する	plt.plot(データ列x, データ列y, color='aqua')
折れ線グラフに四角マーカーを使う	plt.plot(データ列x, データ列y, marker='s')
nをn2で割った結果の切り上げ	(n + n2 - 1) // n2
イテラブルから複数個、ランダムに選ぶ	random.choices(iterable, k=n)
ヒストグラムの色をアイボリーに設定する	plt.hist(データ列, color='ivory')
nがn2で割り切れないか調べる	n % n2 != 0
グラフの描画でパステル調にカラーパレットを使う	sns.set(pallete='pastel')
0からnまでの整数列	list(range(n+1))
実数の二進対数	math.log2(x)
折れ線グラフのバツマーカーを青くする	plt.plot(データ列x, データ列y, marker='x', markerfacecolor='b')
ライトシアン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lightcyan')
グラフの用途をスライドに設定する	sns.set(context='talk')
option: マーカーの色をライトイエローにする	markerfacecolor = 'lightyellow'
八進文字列を整数に変換する	int(s, 8)
ヒストグラムの色をダークターコイズに設定する	plt.hist(データ列, color='darkturquoise')
散布図の色をダークグレーにする	plt.scatter(データ列x, データ列y, color='darkgrey')
データフレームの指定したカラムの欠損値をxで埋める	df['列A'].fillna(x)
データフレームの指定した列の名前一覧の列を抽出する	df[columns]
棒グラフをオリーブ色で描画する	plt.bar(データ列x, データ列y, color='olive')
最大値・最小値で整数乱数を生成する	random.randint(最小値, 最大値)
option: エンコーディングを文字コードtextに設定する	encoding = text
サドルブラウン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='saddlebrown')
リストとリストについて散布図を描画して、文字列という凡例用のラベルを付ける	plt.scatter(データ列x, データ列y, label=s)
ミディアムブルー色のヒストグラムを描画する	plt.hist(データ列, color='mediumblue')
横棒グラフをアリスブルー色で描画する	plt.barh(データ列x, データ列y, color='aliceblue')
横棒グラフの色をミディアムバイオレットレッドにする	plt.barh(データ列x, データ列y, color='mediumvioletred')
データフレームのある列をインデックスに設定する	df.set_index('列A')
有理数の分母	q.denominator
折れ線グラフの線の種類を破線に設定する	plt.plot(データ列x, データ列y, linestyle='dashed')
折れ線グラフの色をパープルに設定する	plt.plot(データ列x, データ列y, color='purple')
ユーザから入力される	int(input())
データフレームのカラムのトリム平均を求める	scipy.stats.tmean(df['列A'], limits=(下限, 上限), inclusive=(True, True))
赤いグリッド線を引く	plt.grid(color='r')
円周率	math.pi
ダークサーモン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='darksalmon')
データフレームの重複を見る	df.duplicated()
横棒グラフの色をダークオレンジにする	plt.barh(データ列x, データ列y, color='darkorange')
棒グラフをゴーストホワイト色で描画する	plt.bar(データ列x, データ列y, color='ghostwhite')
左三角印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='<')
散布図の色を淡いピンク色にする	plt.scatter(データ列x, データ列y, color='lightpink')
データフレームの指定したカラムの値が欠損値か調べる	df['列A'].isna()
空行をプリントする	print()
バイトオーダを知る	sys.byteorder
散布図の色をブラックにする	plt.scatter(データ列x, データ列y, color='black')
散布図の星マーカーを青くする	plt.scatter(データ列x, データ列y, marker='*', markerfacecolor='b')
データフレームの行を範囲指定して抽出する	df[start:end]
折れ線グラフをチョコレート色で描画する	plt.plot(データ列x, データ列y, color='chocolate')
リストとリストについての散布図に大バツマーカーを描画する	plt.plot(データ列x, データ列y, marker='X')
辞書をJSON形式でファイル出力に保存する	json.dump(aDict, fout, ensure_ascii=False)
ヒストグラムの色をオールドレースに設定する	plt.hist(データ列, color='oldlace')
棒グラフの色をミディアムバイオレットレッドにする	plt.bar(データ列x, データ列y, color='mediumvioletred')
ミディアムターコイズ色のヒストグラムを描画する	plt.hist(データ列, color='mediumturquoise')
日付データをn秒前に戻す	aDate - datetime.timedelta(seconds=n)
散布図に黒い星マーカーを描画する	plt.scatter(データ列x, データ列y, marker='*', markerfacecolor='k')
ヒストグラムの色を白に設定する	plt.hist(データ列, color='white')
データフレーム中の欠損値をドロップしてみる	df.dropna()
option: マーカーの色をホワイトスモークにする	markerfacecolor = 'whitesmoke'
文字列を空白で区切って、整数リストに変換する	map(int, s.split())
ミディアムブルー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='mediumblue')
データフレームの選択したカラムの中に文字列と文字列がいくつあるか数える	df[['列A', '列B']].isin([value, value2]).sum()
ヒストグラムの色を赤に設定する	plt.hist(データ列, color='red')
データフレームのインデックスの名前をまとめて付け直す	df.rename(index={x: y})
日付時刻データをn秒前に戻す	aDatetime - datetime.timedelta(seconds=n)
配列の最大値	np.max(aArray)
散布図をオレンジ色で描画する	plt.scatter(データ列x, データ列y, color='orange')
オブジェクトがあるクラスか調べる	isinstance(obj, クラス)
範囲を指定して整数乱数を生成する	random.randint(最小値, 最大値)
文字列のの開始位置から終了位置までの間に部分文字列がいくつか含まれるか調べる	s.count(sub, start, end)
文字列中から正規表現に複数行対応としてマッチする文字列を探す	re.search(pattern, s, flags=re.MULTILINE)
横棒グラフを白くする	plt.barh(データ列x, データ列y, color='w')
散布図を黄色色で描画する	plt.scatter(データ列x, データ列y, color='yellow')
綺麗なグラフを描画する準備をする	import seaborn as sns
ライトグリーン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightseagreen')
nがn2以下か調べる	n <= n2
日付を表現した文字列を日付データに変換する	pd.to_datetime(日付を表現した文字列)
データシリーズの秒	ds.dt.second
パパイヤウィップ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='papayawhip')
リストとリストについての散布図に赤い左三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='<', c='r')
データフレームの指定したカラムの中にいくつ文字列があるか数える	df['列A'].isin([value]).sum()
グラフの横軸のラベルを設定する	plt.xlabel('x軸ラベル')
FIXME:カテゴリーデータを出現頻度順にソートする	df['列A'].value_counts().sort_index().index
散布図をスカイブルー色で描画する	plt.scatter(データ列x, データ列y, color='skyblue')
mathをインポートする	import math
データ列をカテゴリデータに変換する	ds.astype(object)
データフレームの欠損値を中央値で埋める	df.fillna(df.median())
折れ線グラフをダークオリーブグリーン色で描画する	plt.plot(データ列x, データ列y, color='darkolivegreen')
点線グラフを描画する	plt.plot(データ列x, データ列y, linestyle='dotted')
データフレームのカラムのピアソンの相関係数を求める	scipy.stats.pearsonr(df['列A'], df['列B'])
配列を標準化する	scipy.stats.zscore(配列)
データフレームの選択したカラムのパーセンタイル	df[['列A', '列B']].quantile(パーセント/100)
データフレームをCSVファイルにBOM付きで保存する	df.to_csv('file.csv', encoding='utf_8_sig')
数列のケンドールの相関係数を求める	scipy.stats.kendalltau(数列, 数列2)
横棒グラフの色をパールバイオレットレッドにする	plt.barh(データ列x, データ列y, color='palevioletred')
折れ線グラフをライトシアン色で描画する	plt.plot(データ列x, データ列y, color='lightcyan')
ふたつの列からグループ化し、合計を求める	df.groupby(['列A', '列B'], as_index=False).sum()
要素が辞書の値として含まれているか調べる	element in aDict.values()
本日が月曜日か調べる	datetime.datetime.today().weekday() == 0
option: エンコーディングをBOM付きに設定する	encoding = 'utf_8_sig'
多次元データを特異値分解で濃く次元に次元削減する	sklearn.decomposition.TruncatedSVD(n_components=二).fit_transform(多次元データ)
option: マーカーの色を紺にする	markerfacecolor = 'darkblue'
グラフのサイズを設定する	plt.figure(figsize=(横幅, 高さ))
シャピロ・ウィルク検定を行う	scipy.stats.shapiro(配列)
option: グラフの色をアクアマリンに設定する	color = 'aquamarine'
カウンタのキーとカウントを列挙する	aCounter.items()
コマンド引数の一覧	sys.argv[1:]
キーが辞書に存在しないとき、要素を追加する	aDict.setdefault(key, element)
コーラル色の線グラフを描画する	plt.plot(データ列x, データ列y, color='coral')
コーンズシルク色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='cornsilk')
カウンタから辞書を引く	aCounter.subtract(aDict)
bとn2から成るペア	(n, n2)
棒グラフの横幅を調整する	plt.bar(ラベル列, データ列, width=0.5)
文字列をマゼンタでプリントできる文字列に変換する	f'\033[35m{value}\033[0m'
円グラフでデータ列の割合を可視化する	plt.pie(データ列, startangle=90)
折れ線グラフをライトスレイグレー色で描画する	plt.plot(データ列x, データ列y, color='lightslategray')
空文字	''
データ列をビン数nでビン分割する	pd.cut(ds, n)
ヒストグラムをラベンダー色で描画する	plt.hist(データ列, color='lavender')
日付時刻データををn週間後に進める	aDatetime + datetime.timedelta(weeks=n)
文字列を新しい文字列で置き換える	s.replace(sub, newsub)
紺色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkblue')
ヒストグラムをトマト色で描画する	plt.hist(データ列, color='tomato')
オブジェクトはタプルクラスか調べる	isinstance(obj, tuple)
option: マーカーの色を小麦色にする	markerfacecolor = 'wheat'
option: 三角マーカーを使う	marker = '^'
ユニークな要素ごとの頻度	np.unique(aArray, return_counts=True)
文字列内にひとつでも数字が含まれるか調べる	any(c.isdigit() for c in s)
横棒グラフをライトコーラル色で描画する	plt.barh(データ列x, データ列y, color='lightcoral')
散布図をオールドレース色で描画する	plt.scatter(データ列x, データ列y, color='oldlace')
棒グラフを白くする	plt.bar(データ列x, データ列y, color='w')
グレー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='gray')
連立方程式の解を求める	sympy.solve([e, e2])
CSVファイルからデータフレームを読み込む	pd.read_csv('file.csv', sep=',')
散布図の色を貝殻にする	plt.scatter(データ列x, データ列y, color='seashell')
option: 紺碧色を使う	color = 'azure'
データをL1ノルムで正則化する	"sklearn.preprocessing.Normalizer(norm=""l1"").fit_transform(データ)"
散布図をアンティークホワイト色で描画する	plt.scatter(データ列x, データ列y, color='antiquewhite')
散布図の色を紺碧にする	plt.scatter(データ列x, データ列y, color='azure')
データフレームのあるカラムの曜日の名前	df['列A'].dt.weekday_name
日付データが日付データより後ろか調べる	aDate > aDate2
スプリンググリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='springgreen')
インディアンレッド色の線グラフを描画する	plt.plot(データ列x, データ列y, color='indianred')
色付きの破線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dashed', color='#800080')
option: シアン色を使う	color = 'cyan'
棒グラフの色をシルバーにする	plt.bar(データ列x, データ列y, color='silver')
棒グラフの色をピーチパフにする	plt.bar(データ列x, データ列y, color='peachpuff')
行列の行ごとの分散	np.var(aArray, axis=1)
数式の簡略化を行う	sympy.sympify(e)
行列の列	aArray[:, 列番号]
整数nの二進表現	bin(n)
オリーブ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='olive')
option: 線の種類を点線に設定する	linestyle = 'dotted'
カウンタの項目のカウント	aCounter[element]
棒グラフの色をハニーデューにする	plt.bar(データ列x, データ列y, color='honeydew')
データフレームをグループ化し、ある列に対し合計を求める	df.groupby('列A')['列B'].sum()
カーネル密度による分布図を描画する	sns.kdeplot(x='列名', hue='カテゴリ列', data=df)
グラフの凡例の位置を指定する	plt.legend(loc=(x, y))
option: グラフの色をオーキッドに設定する	color = 'orchid'
Pandasのバージョンを表示する	print(pd.__version__)
ゴーストホワイト色のヒストグラムを描画する	plt.hist(データ列, color='ghostwhite')
パレットトルコイズ色の散布図を描画する	plt.scatter(データ列x, データ列y, color='paleturquoise')
データフレームの分散	df.var()
赤色の散布図を描画する	plt.scatter(データ列x, データ列y, color='red')
データフレームの選択したカラムの空文字をドロップする	df[['列A', '列B']].replace('', np.nan).dropna()
シーグリーン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='seagreen')
エポック秒の列から日付データに変換する	pd.to_datetime(df['列A'], unit='s', utc=True)
折れ線グラフの色をハニーデューに設定する	plt.plot(データ列x, データ列y, color='honeydew')
n進文字列をバイト列に変換する	int(s, n).to_bytes(length=bytesize, byteorder='big')
option: マーカーの色をレモンシフォンにする	markerfacecolor = 'lemonchiffon'
ヒストグラムを小麦色色で描画する	plt.hist(データ列, color='wheat')
列名を指定して二つのデータフレームを内部ジョインする	pd.merge(df, df2, on='列A', how='inner')
横棒グラフの色を紺碧にする	plt.barh(データ列x, データ列y, color='azure')
散布図の色をオーキッドにする	plt.scatter(データ列x, データ列y, color='orchid')
ライトスレイグレー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lightslategrey')
データフレームの指定したカラムの第三四分位数	df['列A'].quantile(0.75)
nとn2の論理和	n | n2
配列の行ごとの平均値	np.mean(aArray, axis=1)
三変数の最小値	min(x, y, z)
リストとリストについて散布図を描画して、マーカーを下三角に設定する	plt.plot(データ列x, データ列y, marker='v')
日付時刻データが金曜日か調べる	aDatetime.weekday() == 4
日付時刻データが何曜日か知る	aDatetime.weekday()
ダークターコイズ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkturquoise')
マゼンタ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='magenta')
データフレームの数値をまとめて丸める	df.round()
オブジェクトのプロパティを削除する	delattr(obj, プロパティ名)
ダイアモンドマーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='D')
棒グラフをオールドレース色で描画する	plt.bar(データ列x, データ列y, color='oldlace')
リストとリストについての散布図にrgbの丸マーカーを描画する	plt.plot(データ列x, データ列y, marker='o', c=rgb)
バリーウッド色の線グラフを描画する	plt.plot(データ列x, データ列y, color='burlywood')
棒グラフの色をライトシアンにする	plt.bar(データ列x, データ列y, color='lightcyan')
option: ヘッダを自動的な連番に設定する	header = None
横棒グラフをロージーブラウン色で描画する	plt.barh(データ列x, データ列y, color='rosybrown')
散布図の色をミディアムスレートブルーにする	plt.scatter(データ列x, データ列y, color='mediumslateblue')
データフレームの列を目的変数にする	目的変数 = df['列名']
ヒストグラムの色をライトスチールブルーに設定する	plt.hist(データ列, color='lightsteelblue')
レモンシフォン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lemonchiffon')
option: カラムの名前をリストで設定する	names = 列名リスト
時間を使う	import time
ファイルをバイナリできるようにオープンする]	open(filepath, mode='rb')
データフレームの選択したカラムの中にいくつ欠損値があるか数える	df[['列A', '列B']].isna().sum()
データフレームからランダムにn行を抽出する	df.sample(n)
ヒストグラムの色をライトスカイブルーに設定する	plt.hist(データ列, color='lightskyblue')
ヒストグラムを白色で描画する	plt.hist(データ列, color='white')
ヒストグラムをターコイズ色で描画する	plt.hist(データ列, color='turquoise')
ヒストグラムをダークバイオレット色で描画する	plt.hist(データ列, color='darkviolet')
グリッド線を黒くする	plt.grid(color='k')
散布図の色をシスルにする	plt.scatter(データ列x, データ列y, color='thistle')
ヒストグラムをゲインズボロ色で描画する	plt.hist(データ列, color='gainsboro')
棒グラフを白色で描画する	plt.bar(データ列x, データ列y, color='white')
ヒストグラムをモカシン色で描画する	plt.hist(データ列, color='moccasin')
パールゴールデンロッド色の散布図を描画する	plt.scatter(データ列x, データ列y, color='palegoldenrod')
option: シルバー色を使う	color = 'silver'
option: 文字列をセパレータで使う	sep = s
ファイルからn文字、読み込む	f.read(n)
折れ線グラフの大バツマーカーの線幅を変更する	plt.plot(データ列x, データ列y, marker='X', markeredgewidth=2.5)
両端キューのn番目	deq[n]
option: ゴールド色を使う	color = 'gold'
バギングで回帰分析を行う	model = sklearn.ensemble.BaggingRegressor(n_estimators=10)
グラフを正方形にする	plt.axis('equals')
棒グラフの色をスノーにする	plt.bar(データ列x, データ列y, color='snow')
実数のk進対数	math.log(x, k)
データシリーズの欠損値を最小値に設定する	ds.fillna(ds.min())
option: ダークサーモン色を使う	color = 'darksalmon'
散布図の大バツマーカーの色を変更する	plt.scatter(データ列x, データ列y, marker='X', markerfacecolor='#800080')
データフレームの選択したカラムの中に文字列があるか調べる	df[['列A', '列B']].isin([value])
ある列の文字列が部分文字列で終わらない行を抽出する	df[~ df['列A'].str.endswith(部分文字列)]
配列の合計値	np.sum(aArray)
データフレームからランダムに抽出する	df.sample()
アルファベットの大文字列	string.ascii_uppercase
option: マーカーの色を赤にする	markerfacecolor = 'red'
rangeの無限バージョン	itertools.count(start=n, step=step)
リストの要素をスワップする	aList[i], aList[j] = aList[j], aList[i]
集合が空でないか調べる	len(aSet) != 0
データシリーズのタイムゾーンを日本に設定する	ds.tz_convert('Asia/Tokyo')
ダークオレンジ色のヒストグラムを描画する	plt.hist(データ列, color='darkorange')
横棒グラフの色をダークシアグリーンにする	plt.barh(データ列x, データ列y, color='darkseagreen')
option: グラフの色を紺に設定する	color = 'darkblue'
横棒グラフの色をシアンにする	plt.barh(データ列x, データ列y, color='cyan')
折れ線グラフをグレー色で描画する	plt.plot(データ列x, データ列y, color='gray')
ピアソンでデータフレームの選択した列の相関行列を求める	df[['列A', '列B']].corr(method='pearson')
データシリーズが何曜日か見る	ds.dt.weekday_name
option: マーカーの色をミスティローズにする	markerfacecolor = 'mistyrose'
折れ線グラフの色をダークオレンジに設定する	plt.plot(データ列x, データ列y, color='darkorange')
変数をスワップする	x, y = y, x
ダークオレンジ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkorange')
横棒グラフの色をスレートブルーにする	plt.barh(データ列x, データ列y, color='slateblue')
散布図に黒い三角マーカーを使う	plt.plot(データ列x, データ列y, marker='^', c='k')
折れ線グラフをミディアムオーキッド色で描画する	plt.plot(データ列x, データ列y, color='mediumorchid')
配列の値が正規分布にしたがって発生する確率を求める	scipy.stats.norm.pdf(配列, loc=平均値, scale=標準偏差)
option: ダークオーキッド色を使う	color = 'darkorchid'
ヒストグラムをスチールブルー色で描画する	plt.hist(データ列, color='steelblue')
カテゴリデータ列を数値化する	sklearn.preprocessing.LabelEncoder().fit_transform(データ列)
空のチェーンマップ	collections.ChainMap()
ヒストグラムの色をカーキに設定する	plt.hist(データ列, color='khaki')
データフレームの行と列を入れ替える	df.T
散布図をシエナ色で描画する	plt.scatter(データ列x, データ列y, color='sienna')
ヒストグラムをスノー色で描画する	plt.hist(データ列, color='snow')
タプルの最初の文字列を探す	aTuple.index(element)
option: マーカーの色を暗い赤にする	markerfacecolor = 'darkred'
option: 星マーカーを使う	marker = '*'
辞書のキーに対応した値	aDict.get(key)
option: グラフの色をビスクに設定する	color = 'bisque'
ヒストグラムをプラム色で描画する	plt.hist(データ列, color='plum')
ダーク・スラテグレー色のヒストグラムを描画する	plt.hist(データ列, color='darkslategrey')
日付時刻データが何日か知る	aDatetime.day
棒グラフの色をレベッカパープルにする	plt.bar(データ列x, データ列y, color='rebeccapurple')
文字列を隔離する	sys.intern(s)
散布図の色をホットピンクにする	plt.scatter(データ列x, データ列y, color='hotpink')
右三角印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='>')
スレートブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='slateblue')
散布図の色をローングリーンにする	plt.scatter(データ列x, データ列y, color='lawngreen')
データフレームから重複ありでランダムにn行をサンプリングする	df.sample(n, replace=True)
データフレームの欠損値を直前の値で埋める	df.fillna(method='ffill')
データシリーズのパーセンタイル	ds.quantile(パーセント/100)
横棒グラフをスプリンググリーン色で描画する	plt.barh(データ列x, データ列y, color='springgreen')
散布図をライムグリーン色で描画する	plt.scatter(データ列x, データ列y, color='limegreen')
縦棒グラフを積み上げにする	plt.bar(ラベル列, データ列, bottom=データ列y, color='#800080')
option: 切片を算出しない	fit_intercept = False
データフレームを関数によってグループ化して、グループ名を列挙する	[name for name, _ in df.groupby(関数)]
予測データの混同行列を求める	混同行列 = sklearn.metrics.confusion_matrix(正解データ列, 予測データ列)
ロバスト回帰モデルを作る	model = sklearn.linear_model.RANSACRegressor(random_state=0)
データフレームの統計量	df.describe()
option: エンコーディングを文字列の示すエンコーディングに設定する	encoding = s
赤い散布図を描画する	plt.scatter(データ列x, データ列y, color='r')
折れ線グラフの色をグレーに設定する	plt.plot(データ列x, データ列y, color='gray')
ヒストグラムの色をゲインズボロに設定する	plt.hist(データ列, color='gainsboro')
暗い赤色のヒストグラムを描画する	plt.hist(データ列, color='darkred')
棒グラフの色をダークオーキッドにする	plt.bar(データ列x, データ列y, color='darkorchid')
データフレームの先頭n行	df.head(n)
大バツ印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='X')
option: グラフの色をピンクに設定する	color = 'pink'
句読点文字を全部使う	string.punctuation
決定木を可視化する	sklearn.tree.plot_tree(model, feature_names=X.columns, filled=True)
リストをn個にビン分割して、namesのラベルをつける	pd.cut(aList, n, labels=names)
ふたつの列からグループ化し、個数を求める	df.groupby(['列A', '列B'], as_index=False).count()
現在のモジュール	sys.modules[__name__]
データ列を全て日付データに変換する	pd.to_datetime(ds)
配列の要素ごとに加算する	aArray + aArray2
散布図をオリベドラブ色で描画する	plt.scatter(データ列x, データ列y, color='olivedrab')
列名を指定して二つのデータフレームを外部ジョインする	pd.merge(df, df2, on='列A', how='outer')
散布図の色をダークサーモンにする	plt.scatter(データ列x, データ列y, color='darksalmon')
データフレームのあるカラムが何分か見る	df['列A'].dt.minute
折れ線グラフを白色で描画する	plt.plot(データ列x, データ列y, color='white')
横棒グラフの色をミディアムブルーにする	plt.barh(データ列x, データ列y, color='mediumblue')
散布図の色をスラグレーにする	plt.scatter(データ列x, データ列y, color='slategray')
データフレームのヒストグラムを縦横に並べて、可視化する	sns.displot(df, x='列名', col='カテゴリ名', row='カテゴリ名')
散布図のポイントマーカーを赤くする	plt.scatter(データ列x, データ列y, marker='.', markerfacecolor='r')
