talk: 返信がめんどくさい	代わりにやってあげる
talk: アカウントが凍結した	問い合わせたらいいんじゃない
talk: 挑戦したのですが分かりません。	時間をおくとできるかもしれません。とりあえず次の問題に進もう！
talk: 前後逆に服着てた	案外まわりは気づいてないかも？
talk: 失敗したらどうしよう	それも経験！
talk: 髪色が決まらない	ブロンドがおすすめ
talk: 自転車を倒した	直しとくよ
talk: 課題リストの反映がたまにおかしい。	そういうこともあります
talk: 明日初日だ	挨拶しっかりね！
talk: 小指ぶつけた	痛いの痛いの飛んでいけ〜
talk: ニキビが痛い	バランスよく食べよう
talk: 憧れの人と話すとき	憧れの人と話せるなんていいね
talk: 返信こない	相手も忙しいんだよ
talk: レポート課題にも挑戦してみようと思います!	偉い！その意気です！
talk: ちょっと難しかった。	ちょっとなら優秀！この調子で進めてね！
talk: すぐに諦めてしまう	周りの人に頼ろう
talk: 初めのころと比べて問題が難しくなっていき進みが遅くなったことを実感しています。	難しくなったならそれは仕方ない！週に数問は取り組めたらいいね！
talk: 論理式が難しくてなかなか解けないです。	解けない問題はありません！
talk: 〆切迫ってる	あと少し、頑張って！
talk: 紅白に落選した	レコ大には当選した？
talk: 多くの仕事を任された	信頼されてるんだね
talk: お腹が痛い	大丈夫？
talk: 友達と少し言い争ってもやもやする	納得いくまで話し合ったらいいよ
talk: 包丁で切ってしまった	痛いねぇ
talk: 車にぶつかられた	整骨院か病院通えばお金もらえるよ
talk: 好きな人から返信来ない	たまたまだよ
talk: 体調よくない	しっかり寝よう
talk: 事故に遭った	大変！
talk: 恋人に冷めた	何かあったんだね、
talk: 勝手に写真が使われた	あなたの写真が素晴らしいからだよ
talk: 企業に電話する	経験値上がるね
talk: 第二回の講義の範囲となってしまいますがコンテストの開始時間の問題が難しくてかなりてこずってしまいました。	時間をかけすぎず、どんどん先に進めていこう！
talk: 関数難しいです。	関数を積極的に使うようにして、練習しよう！
talk: 話しを聞いてくれない	顔をこっちに向かせれば？
talk: 最近休みが無くて疲れた	大変そうだね、、
talk: 遠出してないな	年末だしどっか行っちゃおうよ
talk: 明日その服着よう	どんな服でも似合うよ
talk: 終わった	課題ならよかったね
talk: マウント取ってくる	取り返してやれ
talk: ちょくちょく進めないと思うのですが...	パソコン開いたついでにどうぞ
talk: ご飯を炊く時の水の分量を間違えた	いろんなご飯の硬さを楽しもう
talk: 馬鹿にされた	馬鹿にされるだけ愛嬌がある
talk: 他人と比べる	他人は他人、自分は自分。自分流に生きれる奴は（E）
talk: 電車を乗り過ごした	あるあるだわ
talk: ご飯冷たい	１０階にレンジあるよ
talk: 元々listが苦手なので他のものより進むのに時間がかかってます。	リストは慣れるととても便利です！頑張って習得しよう！
talk: 難しくて全然進みません。	周りの友だちに聞いてみても良いかもね！
talk: 許可なしで写真載せられた	個人情報はダメだよね
talk: そのままAtCoderで提出したら不正解になってしまっていた。	入出力を確認すると良いかもね！
talk: 最悪	ネガティヴは損だよ
talk: 課題が難しい	簡単という人はいないよ
talk: 眼鏡似合わない	似合ってるよ
talk: バスが目の前で行っちゃった	仕方ない、気長に次の待とう！
talk: 熱が出た	温かくして寝てね
talk: 休みが無くて疲れた	大変そうだね、、
talk: お財布を無くした	クレカ止めて！
talk: 最初のほうはスラスラ解ける問題もありましたが非常に難しいと感じる問題が増えてきた。	ここからが頑張りどきですね！
talk: 理解力が遅いので不安です。	つまり定着率がいいってことだね！
talk: 怪我で試合に出られない	それは悔しいね
talk: 洗濯物取り込み忘れた	雨振らないように
talk: シフトが急遽入った	その分稼げるよ
talk: 普通の子	そこはかとなくいい感じだよね！
talk: コンタクトを落として何も見えない	頑張って
talk: バイト先のシフトが減った	他を探してみてもいいかも
talk: 先生の声が小さくて聞こえない	この授業捨てようよ
talk: ワクチンの副反応が辛い	すぐ治るから頑張って
talk: 家電が壊れた	買い替え時だったんだよきっと…
talk: 傘を忘れて雨になった	隣にいる人の傘に入ってしまおう
talk: 彼氏をとられた	許せないね
talk: リストが難しく友達に教えてもらわないと中々進めることができなかったです。	友だちに感謝。代わりになんか教えてあげよ！
talk: ライブの抽選落ちた	それは悲しい
talk: AtCoderのペースが難しくなって落ちてきました...。	解き続けることが大切！
talk: ライブに落ちた	次は絶対に当選するよ
talk: どうしよう	基本何とかなるから、とりま落ち着け？
talk: 難しいです。	時々復習もするといいかもね
talk: すごく難しくなってきて困ってます。	一通り基本を覚えるためにはここが頑張りどころ！
talk: シミュレーションを使う預金は難しいと思いました。	みんな苦手に思っているみたい、一人じゃないよ
talk: ヤバい	大丈夫だから冷静にな。
talk: 大事な日に寝坊した	次にこの失敗を繰り返さないように気をつけよう
talk: 毎週少しずつやっているつもりでも後れを取っているなという感じなので頑張ります!!!!!昨日中間アンケートに答えた後いつまでも鬱だ鬱だ言っててもよくないよなぁと思い夜にプログラミングに取り組みました。	偉すぎます、鬱ながらも少しずつやっている時点で偉い
talk: 予防接種痛い	仕方ない
talk: 何もできない自分がみじめ	そんなことない
talk: 何回もやり直しても正解にならない。	たまには飛ばして進めてもいいと思うよ
talk: アニメの推しが亡くなった	それは苦しいね、、
talk: シャンプーとリンスを間違えて何回も洗ってしまった	より清潔になったと思おう！
talk: 逃げたい	逃げるは恥だが役に立つ！
talk: 春休みで全く触れなかったせいもありだいぶ苦労しています。	プログラミングと戯れる時間を増やしてみよう！
talk: これ食べられない	食べてあげるよ
talk: 寝癖すごい	可愛いよ♡
talk: 指名される	記憶に残っていいね
talk: ブレイクアウトルームで話しかけるのもかなり勇気がいるのでつらいです。	メンタル強化月間と題して頑張ろう
talk: 関数難しい。	複雑なプログラムになるほど、関数は大切になってきます
talk: 寝ても寝ても眠い	寝れるだけ寝るんだ！
talk: パソコンが壊れた	直し方調べよう
talk: 腹痛	さっさとEVE飲もう！
talk: 明日発表	発表前に深呼吸してね
talk: 友達と話しながらやると面白いな解けるなと思うことがあり解けると次の問題に行こうと思えるのですが一人でやると1問で疲れてなかなか次の問題に進めない気がしました。	じゃあ友だちと勉強会をやろ！
talk: 暑い	アイスが美味しい季節！
talk: コロナ太りした	一緒に運動しよう！
talk: 今日は前回に比べて問題があまり進まなかった。	明日もまた一緒に進めよ！
talk: スマホを落とした	アプリで探せないかな？
talk: 大声出してめっちゃ見られた	私もたまにやる、気を付けよう…
talk: お風呂が壊れた	銭湯に入りに行こう
talk: インフルエンザ辛い	お大事に
talk: クレームが来た	クレーム対応お疲れ様です
talk: 寝ながらスマホ見てたら顔の上に落ちてきた	一旦病院に行ってみよう
talk: 写真写り悪い	わかる!、ちょっと後ろに立って写ってみたら？
talk: レポート問題考えましたが難しい。	友だちにも相談しつつ、できる限り進めよう！
talk: 就職出来るかな	自分を理解して突き進むしかない
talk: このコードが何をしているのかよくわからなかった。	一行ずつコードを整理しながら追っていこう！時間がかかるけど、一番理解は深まります！
talk: 夜に寝れない	朝早く起きよう！
talk: 反応来ない	いつか来るよ
talk: 友達がいない	私がいるよ
talk: 人の名前を間違えた	会話が弾むいい機会だ
talk: 運転が上手くならない	マリオカートで練習しよ！
talk: 眠れない	アイマスクをしよう
talk: 彼氏が何を考えているかわからない	多分悪いことは考えてないよ
talk: 約束を忘れてた	素直に謝ろう
talk: 火傷した	痕残らないといいね
talk: 近所のラーメン屋潰れた	他店に食べに行こう
talk: 友達がほぼいないのでブレイクアウトルームが結構しんどい。	友達作りと就活の練習だと思って飛び込んでいこう
talk: 人を信用できない	自分を信用しよう
talk: 内容が難しくなって思うように進まなくなった。	みんな一緒です、やれる問題からやっていこう！
talk: 全く解けなかったです。	まずは最初の一問を頑張って解いてみよう！
talk: マウントとられた	かわいそうな人なんだよ
talk: 暖房暑すぎた	温度を下げよう
talk: 喧嘩した	時間が経てば元に戻れる
talk: 難しい問題がありひとつの問題に時間をかけてしまいあまり進められなかった。	たまには飛ばしちゃってもいいと思うよ
talk: 嘘をついてしまった	正直に言ってみよう
talk: アルゴリズムになってからすごく問題が難しくなってきたと感じます。	アルゴリズムは難しい部分なので仕方ないよ
talk: 寒いから布団から出たくない	あるあるだね
talk: 外国語で道を聞かれた	ジェスチャーで何とかしてみよう
talk: 頭痛い	パソコンの見過ぎなんじゃない？
talk: 歯が痛い	歯医者行こう
talk: 何も言い返せなかった	優しいね
talk: スマホ壊れた	新しいの買おう
talk: 平均点難しかった。	式を整理しながら解き進めると良いかも！
talk: フードコートで席あいてない	相席でもいい？
talk: 今日もやりましたがほとんど手詰まり状態でした。	友だちやコギーを頼りながら、少しでも進められるようになろう！
talk: 少し話が難しくなってきた。	まだまだこれからです
talk: 部屋着の上から服を着た	たまにあるね
talk: 好きな人と喧嘩した	喧嘩するほど仲がいいよ
talk: 明日提出の課題が終わらない	焦らず着実に進めてこ
talk: 好きなユーチューバーが配信やめた	他のユーチューバー探そう
talk: 荷物が重い	カート使おう
talk: 早起きできない	電話かけようか？
talk: スマホが壊れた	新しいの買おう
talk: パソコンの動作が変	再起動したら？
talk: 嫌いな食べ物が出てきた	あとで、美味しいもの食べれると思って頑張って!
talk: WAになり続けたりすごく大変でした。	それでもきちんと提出していて偉い
talk: 美容院お金かかりすぎ…	美容師の友達探す
talk: スマホ忘れた	スマホないときついよねー
talk: 中高で習った数学の知識を過去に置いてきた。	時を戻そう
talk: 怖い夢を見た	夢でよかったね
talk: なかなか最初は難しいです。	そうですよね、だんだん慣れていけばOKです！
talk: スマホ割れた	買い替えの時期かも
talk: 外に出るのが怖い	そうだよね怖いよね
talk: お寿司にわさび入ってた	大人の階段登った！
talk: ピンチ	今助ける！ヘリを待つんだ！
talk: 思っていたよりも1年の知識を忘れてい。	少し間があくと忘れてしまうよね、演習問題の最初から順にやって段々と思い出していこう！
talk: 緊張しい	落ち着いて！
talk: 今回は前回よりは難易度が上がったと思いました。	勉強を進めていくと難しくなるのは仕方ないことです。一緒に進めていこう！
talk: 美容室の予約時間過ぎてた	連絡すれば大丈夫
talk: ついチェックしてしまう	私もよくやっちゃうよー！
talk: ぼんやりとした不安	夏目漱石と同じ悩みだね、まずはどうして不安なのかを考えてみたら？
talk: リストやfor文の内容に入ったころから一気に分からなくなってきてしまいました。	使いこなせるととっても楽になりますよ！丁寧に学習していこう
talk: 改札でお金がないことに気づいた	ドンマイ
talk: 話を聞き逃した	もう一回聞きに行こう
talk: 前の席の子に話しかけていいのか	話しかけよ！
talk: コロナこの収束するかな	落ち着くといいね
talk: 株で大損した	次は逆にいいことあるかもよ
talk: 試験大丈夫かな	今まで頑張ってきたから大丈夫
talk: しょっちゅう転ぶ	気を付けよう
talk: 食材を買い忘れた	でもその食材が欠けていても美味しいでしょ？
talk: 差ができていてやばい。	継続していくことが大切です
talk: 勉強するときにペンを忘れた	隣に座っている人に借りよう
talk: 難しいことが出来ない	わかる、
talk: サークルの部員が来ない	連絡してみようか
talk: 待ち合わせに遅刻した	すぐ謝ろう!
talk: インターン通らない	合わないってことであきらめな
talk: 将来どうなるだろう	やりたいこと見つけよう
talk: 何もできない自分にイライラする	そんなことない！
talk: 数学力が試された。	数学力はいる時もあればいらない時もあるよ
talk: 二日酔いが辛い	たくさん飲んだんだね、、
talk: テスト大丈夫だったかな	終わったことを気にするな！
talk: バスが目の前で行ってしまった	次のバスまで待とう
talk: 一生彼氏できない	そんな訳ない
talk: 水溜りに入った	水の滴るいい女になったね
talk: 1年生の時に関数は触れる程度でしか学習していないので6の関数から難しく授業時間内ではあまり進みませんでした。	まず関数の使い方を理解しましょう！なんとなくわかったらどんどん演習していこう！
talk: 単位欲しい。	課題進めればきっと単位もらえるよ
talk: 伝言を伝え忘れた	伝えに行かなきゃ
talk: クレーマーがきた	客だからって偉そうだよね
talk: 食パンかじって出かけたら角で人とぶつかった	漫画家よ！！！
talk: 祝日なのに休みじゃなかった	残念！
talk: がんばります...どんどん難しくなって進みもとても遅くなってます。	ゆっくりでもいいので進めることが大切です！
talk: 肩こりがひどい	大丈夫？ゆっくり休んで
talk: パスモを忘れた	切符チャレンジ！
talk: 忘れた	何を忘れたんだい？人間忘れる生き物さ。
talk: 部屋に虫がいる	怖すぎ
talk: ポーズ寒い	どんなポーズ？？
talk: 牛乳買い忘れた	ミルクティーが飲めない
talk: 一人	え、一人楽しくない？自由やで！
talk: チャレンジ問題から難しく感じた。	チャレンジだからね、仕方ない
talk: ColabではちゃんとできてもAtCoderではエラーになってしまう。	そういうこともあるよね、細かいところを確認してみよう！
talk: しかし第6回はあまり数をこなせなかったことが影響しているのか以前までは複雑な問題でもすぐに解法がひらめいていたのですが第6回はひらめきが若干遅くなった気がしています。	使い慣れていない文法が増えてきたからかもね、Google先生にも助けてもらおう
talk: 英語の先生めっちゃ当ててきた	why？
talk: 告白したい	当たって砕けな！
talk: 自転車で転んだ	大きなけががなくてよかった
talk: スタバの新作が売り切れてた	カロリー摂取抑えられたね
talk: 悔しいです。	来週からも頑張ろう
talk: 迷子になった	近くの人に道聞いたら何とかなる！
talk: 雨で服が濡れた	わかる！
talk: 充電コードを忘れた	貸すよ
talk: 親戚の人に久々に会うとき	久々に会う人はなんだか緊張するよね
talk: 鍵なくした	一緒に探そうか
talk: 指挟んだ	痛いね
talk: AtCoderは50(おつり)まで進みました。	その調子！どんどん進めていこう！
talk: ご飯食べるタイミング逃した！	早く寝て朝早く食べよ！
talk: 目の前で乗りたい電車のドアが閉まった	のんびり余裕をもって移動ができたね
talk: 告白するか迷う	悔いのないように！
talk: 怖い夢見た	夢でよかったね
talk: ゴールデンウィークはサボってしまって全然進みませんでした。	休み明け気合を入れ直そう！
talk: 唐辛子が辛すぎる	チーズ入れるといいよ
talk: 夜更かししちゃう	昼夜逆転わかる
talk: 目にゴミ入った	洗い流してー
talk: 難しかった。	気のせいです！
talk: 怪我した	お大事に。
talk: アクセルとブレーキ間違えた	瞬発力！！
talk: 英語が出来る	石油王と結婚出来るんじゃない？
talk: スマホ中毒を頑張って考えていたのですが考えるべき例外が多すぎて挫折しました。	すぐコードにしないで紙を使って落ち着いて整理しよう！
talk: にらまれた	無視しよ
talk: 彼氏と別れた	次の出会いがあるよ
talk: 新発売のお菓子がコンビニ限定…	高いよね…
talk: リモコンがない	探そう
talk: お財布落とした	交番へlet'sgo！
talk: 今日提出の物があった	今から急いでやろう！
talk: お財布を落とした	クレカ止めて！
talk: 内容が懐かしいものばかりで自分やらなすぎだなと感じた。	記憶を呼び起こそう
talk: 上下関係が分からない	敬語使っておけばとりあえずはオッケー
talk: 教職のために後期も履修するつもりでいますが不安です。	プログラミングできると今後絶対いいことあるよ！
talk: チャレンジ問題が難しいです。	チャレンジなので仕方ないよ、どんどん進めよ！
talk: 迎えに誰も来てくれない	待ちぼうけの練習だ
talk: 途中からわからなくなったのを放置していた。	まず週一から始めよ
talk: やる気出ない	一旦休憩しよ！
talk: 明日はテストだ	最後まで足掻こう
talk: 試験が近い	自分を信じて
talk: 授業休講のこと知らずに学校来ちゃった	良い運動だ！
talk: 痴漢された	警察に突き出そう
talk: 待ち合わせの時間間違えた	次は気を付けよう
talk: お土産で買ったものが地元でも売っていた	お土産は思い出なんだから、そんなに落ち込まないで！
talk: 親に言われる	自分の人生なのに。
talk: 服決まらない	なんでも似合うよ
talk: やばい	いい意味？悪い意味？
talk: いいねもらえない	時間帯じゃない？
talk: 占い結果が悪かった	占いは非科学的なものが多いから、気にしなくて大丈夫！
talk: 定期なくした	もっとよく探そう
talk: 今日もつかれた	お疲れ様！
talk: 就活したくない	それな！！！
talk: 疲れて心が痛い	まずは、遊ぼう！
talk: 受験落ちた	頑張ってよかったと思える日が必ずくるよ
talk: 今週は全くすすんでない。	じゃあ来週は頑張ろう！
talk: お店が閉まってる	そんな時もあるよ
talk: 画面オフだと思っていたらオンになっていた	一旦何もなかったかのように退出しよう
talk: ピアス穴が膿んだ	お薬塗るといいよ
talk: 雇ってくれる会社あるかな	たぶんある
talk: 成功するかな	この世に男はたくさんいる
talk: 痩せれない	それな
talk: 次回からのアルゴリズムがとても不安です。	いまから不安がらなくてOK！
talk: 寝れない	アロマとか音楽とかどうかな？？
talk: 待ち合わせ時間間違えてた	次は気を付けよう
talk: 限界まで働いている	無理しちゃだめだよ
talk: 気持ち悪いコメントしてくる人がいる	きもいね無視しよう
talk: 親戚が病気になった	きっと治るよ
talk: スマホの画面割れた	ちゃんと修理できるといいね…
talk: 進路に迷う	自分を信じて！どの選択でも君次第！
talk: リストの範囲が難しく感じました。	リストは苦手な人が多い範囲です、丁寧に学習を進めよう！
talk: スイーツを食べられた	名前を書いておこう
talk: すぐ解けそうな問題はおおよそ解いてしまったのでペースが落ちそうです...。	ちょっと時間かかりそうな問題に着手し始めよう！
talk: テストの裏に気が付かなかった	表は全部解けたの？
talk: 間違えて資料消しちゃった	次はいいの作れるよ
talk: チャレンジ問題にも挑戦したのですが分かりません。	時間をおくとできるかもしれません。とりあえず次の問題に進もう！
talk: 甲子園を逃した	練習は無駄じゃないよ
talk: お菓子がおいしくてやめられない	おいしいからしかたない
talk: 目が痛い	一旦、休もっか
talk: 遅刻しそう	ゆっくりおいで
talk: 面接だ	頑張って！応援してるよ
talk: 悪寒がする	あったかくして寝よう
talk: また改めてwhile、for構文に苦手意識があると思いました。	だんだん薄れてくるから大丈夫！たくさん練習しよう！
talk: でも書ける気がしません。	そんなことない！
talk: 行きたいところに就職できるかな	なんとかなるよ
talk: バカにするように笑われた	それは嫌だね
talk: 悲しい	悲しいね！
talk: 良い言葉が出てこない	伝われば大丈夫だよ
talk: 自分は全然分かってないと落ち込みました。	最初から完璧にわかる必要なんてないよ！友だちと確かめ合ってみてもいいかもね
talk: 乾燥して手が痛い	ハンドクリーム塗らないとね
talk: すっぽかした	そことは縁が無かったんだよ
talk: 最近1問解くのに時間がかかってなかなか進みません。	解き切ることが大切です！
talk: 思うようにいかない	人生甘くないんやで！
talk: 来週模擬授業だ	頑張れ
talk: 靴下がバラバラだった	それはそれであり
talk: これでできたか?と思ってもエラーになってしまってなかなか苦戦しています。	色々な入力を試してみよう！
talk: ゲーム機が壊れた	それは最悪だね、データとか大丈夫？？
talk: フォロワー増えない	そのうち増えるよ
talk: 実行時エラーや不正解の連続で心が折れてしまいそうです。	エラーならコギーが助けになれるかも！
talk: Twitterで悪口書いた	それはやめときな！
talk: 納期を間違えた	何の仕事中？
talk: 空いた時間に演習問題を少しずつ進めよう。	とてもよい心がけ！
talk: B問題が多くいつもより進みが遅くなってしまいました。	B問題は難しいので仕方ない！だんだん慣れていこう
talk: 独り暮らしを始めた	徐々に慣れていくよ
talk: 本を読むのに飽きた	新しいこと始めよう
talk: ジュースこぼした	(･᷄∀･᷅)
talk: パソコンのデータが消えた	なんとか復旧できないかな、、、
talk: 返信に時間が取られる	大事なメッセージだけ返せばいいよ
talk: 他人と気が合わない	それも個性さ
talk: やばいやばいと思いつつ全然進めない自分が嫌になります	パソコン開いたついでにコギーに会いにおいで
talk: 賞味期限切れていた	買ったらすぐ食べよう
talk: 映画を見た	次は一緒に見よ
talk: 切符を無くしちゃった	駅員さんに言えば大丈夫だよ
talk: こけた	誰も覚えてないよ
talk: マスクが嫌だ	マスクはコロナにとても効果があるんだよ
talk: 友達と喧嘩した	仲直りできるといいね
talk: かなり難しいあきらめました。	1週間後には突然解けるようになっているかも
talk: 学校の遠隔用の教室でzoomを受講しているのだが全員静かに授業を聞いているのであまり声を出せる環境ではなくて困っている。	ラウンジとかもおすすめ！
talk: かなり遅れているので不安ですが頑張ります。	そんなことないし、まだまだこれからだよ！
talk: アイディアを貰った	その考え神かよ
talk: あまり進められてないので焦ってます。	一週間で解く問題数を決めるといいかもね
talk: だんだん問題が難しくなっていく中での正解問題数が38なのでペースが周りより遅いことはわかっていたのですが不安が大きくなってきました。	毎週少しでもいいので解き進められるといいね！
talk: 部屋汚い	片付けよう！
talk: 内容が難しい。	プログラミングって奥深い
talk: バイトでお客さんに水かけた	謝ったら許してくれるよ！
talk: 友達の名前を言い間違えた	間違えた！って言ってみよう
talk: 改札引っかかった	ウケる
talk: バイト行きたくない	お金のために頑張ろう
talk: 食べたものが消費期限切れだった	変な味しなかった？
talk: 好きな人今誰といるのかな	きっと家で寝てるよ
talk: テストで0点とった	次がある！
talk: 結婚相手がいない	探す手段はたくさんあるので試しましょう
talk: シフト入ってないのにバイト行っちゃった	そんな日もあるよ！
talk: 友達が数日休んでいる	心配だね
talk: 体調がよくない	しっかり寝よう
talk: 課題を出し忘れた	説得して提出させてもらおう
talk: 終わりに近づいてきてさらに難しくなった。	終わりなので仕方ない、あと一踏ん張り！
talk: あまり進みませんでした。	明日から頑張ろう
talk: 今日誕生日なのに誰にも祝ってもらえなかった	誕生日おめでとう！！
talk: 眼鏡なくした	もう一回落ち着いて探そう！
talk: 課題が同時にたくさん出た	無理はしないでね
talk: 第9回の問題がCが多くて苦戦し時間がかかってしまいました。	少しでも多く解けるように頑張ろう！
talk: リストのところをやっているのですがとても難しく感じました。	全部解き終わった頃にはちょっと難しいくらいになってるよ
talk: だんだん問題が難しくなっていく中での正解問題数が38なのでペースが周りより遅いことはわかっていたのですが不安が大きくなってきた。	毎週少しでもいいので解き進められるといいね！
talk: 新しい服買った	似合ってるよ
talk: いつも難しいなと思っていましたが関数はやはりもっと難しくエラーをたくさん繰り返しました。	関数の引数や返り値を意識しよう！
talk: チケットが外れた	きっと次は当たるよ
talk: 卒業ラッシュすごい	みんなずっといて
talk: 授業の解説時間が長くなっていき難しくなってきたな。	解説時間短くしてもらおうか？
talk: 相手が遅刻してきた	注意しよう
talk: バック忘れた	よくあるよね
talk: 道がわからない	ググって
talk: 半袖は寒すぎた	早くカフェ行こ
talk: 先生に怒られた	あなたが悪いとは限らない！
talk: 写真を撮るの難しい	たくさん撮ろう
talk: 課題あるけどドラマの続き見たい	ちょっとだけ見ちゃう？
talk: バイトでミスしないかな	きっと大丈夫！
talk: 第一志望に落ちた	他の大学でもきっといいことが待ってるはず
talk: 入力例を試して出力例が正しく出たとしても実際提出するとWAで返ってくることが今回の第9回の演習問題では特に多く苦戦しています。	コーナーケースをじっくり考えてみよう！
talk: ばいばい	またね
talk: 炊飯器のスイッチ入れてなかった	ご飯はもうちょっと待とう
talk: 課題の締め切り間違えてた	やっちゃったね、、
talk: フォロワーが増えない	そのうち増えるよ
talk: 車に煽られた	落ち着いて離れよう
talk: 社会人人生不安	Me,too
talk: リップ塗っても乾燥する	本当にそれな
talk: イルミネーション見に行きたいのに混んでる、	混んでるときに行った方が味があるよ
talk: コンタクトなくした	裸眼の世界を楽しもう！
talk: 手越くん卒業しちゃった	しちゃったね
talk: エラーになってしまってなかなか苦戦しています。	色々な入力を試してみよう！
talk: 振り返ってみるとびっくりするほどややこしいやり方で解いていて後悔した。	振り返るのはとても良いことですね！次から気をつければOK！
talk: 必要とされていない	そんなことはないさ！
talk: 食べたいものが多すぎて辛い	運動すれば大丈夫
talk: 足つった	痛いよね
talk: 情報取集たくさんできる	それはいいこと！
talk: 部屋の電気消さずに家でちゃった	あるある
talk: 早く帰りたい	残ることでできる人間関係もある！お疲れ様
talk: 部屋にゴキブリが出た	怖すぎ
talk: 問題でつまずきそこで心折れました。	そういう時はどんどん新しい問題にチャレンジしていきましょう！
talk: スマホの動作が変	たまにあるよね
talk: チケットの抽選期間終わっていた	きっと運が溜まっているよ！
talk: 冷たい飲み物が売り切れ	地味に辛い
talk: ミュートし忘れて悪口言っちゃった	一旦何もなかったかのように退出しよう
talk: 注文を言い間違えた	言い直せば大丈夫！
talk: list使うの苦手です...。	リストは使用頻度高めなので、ぜひ練習してください！
talk: やらかした	君が思っているより、他人は何とも思わないぜ？気にせず挽回が大切。
talk: ペン忘れた	スマホかパソコンでメモしよう
talk: 少し話が難しくなってきました。	まだまだこれからです
talk: 寺田蘭世さんが芸能界から引退しちゃう	悪いニュースだね
talk: 問題がなかなかうまくいかず悩みました	悩むのも一つの勉強です
talk: 友達に会えなかった	明日はきっと会える！
talk: for文や演算系(+=など)を使うべき問題が難しかった。	使うべきだと気付いただけでもオッケーです！スラスラ書けるようになるとなお良いね！
talk: 泥棒が来るかもしれない	ちゃんと鍵を閉めていれば入ってこないよ!
talk: 犬が脱走した	追いかけよう！！
talk: やっと1週目の課題が終わりました...!長かったですね	お疲れさま！長い戦いです
talk: 特定の人にだけ引用リツイートされる	ブロックしちゃえ
talk: ハブられた	私がいるよ！
talk: 家計簿の計算が合わない	おかしいな
talk: なかなかアルゴリズムになってから思うように進まない。	完璧に書けるようになるには結構時間かかります、頑張って！
talk: 別れたい	よーく考えてから決めればええ。
talk: 好きな人に彼氏ができた	あの人イマイチだったよ！他にいい人いるよ！
talk: 下着一泊分忘れた	新しいものを買ういい機会だ
talk: インターン忘れてた	そこまでの会社だったってことだよ
talk: バカ丸出し	バカの方が楽しいよ！
talk: 蚊に刺された	ムヒ！
talk: 友達はもう30問目に進んでいると聞き少し焦り始めてきました。	その友だちがすごすぎるんだよ、自分のペースで進めてね！
talk: 見ていて寒い	暖かそうな服をおすすめしよう。
talk: 課題が終わらない	徹夜だ！！
talk: 鍵忘れた	忘れないように玄関に置こう
talk: 預金が難しい。	紙とペンを使って問題を整理してみよう！
talk: 寝ぐせついたままだった	なおせそう？
talk: 友達に気の利いた声をかけてあげられない	あなたは十分できてるよ
talk: トイレにスマホを忘れた	まだあるといいね
talk: 今週の課題はなんだか難しくてあまりスムーズに進めることができませんでした。	だんだん難しくはなっていくけど、一歩ずつ進めていこう！
talk: ダイエット続かない	なかなか難しいよね、、
talk: 混雑に巻き込まれた	時間をずらそう
talk: 返信がこない	相手も忙しいんだよ
talk: 勉強したくない	頑張ったら良いことあるんじゃない？
talk: 課題が終わらない	焦らず着実に進めてこ
talk: うんち踏んだ	運がついてくるよ
talk: 今日の夕飯何つくろうかな	自炊してるのえらい！
talk: 今回の範囲は難しく進まなかった。	まず1問！
talk: 自転車がパンクした	徒歩帰宅？
talk: かなり時間がかかってしまった。	それだけ長い時間プログラミング練習していて偉い
talk: 炭酸が爆発した	強い炭酸ってことが分かったね
talk: Twitterでポエム書く人痛い	地味にそのポエム響いたりするよね
talk: 問題自体はクイズみたいでアルゴリズムを考えつくことは比較的容易なのですがコードで表現する部分に苦戦しています。	クイズみたいって思えるんだね！楽しそう！コードはパターンをいくつか覚えておくと楽に書けるようになるかも！
talk: 新学期が始まる	楽しんでいこう
talk: 数回前の授業から既に授業きついていけていませんでした。	ぜひ復習を！
talk: 全然わからない	私も分からない！おそろいだね！
talk: 日焼けした	それは痛い
talk: 実験レポートを忘れた	そんな時もあるよ
talk: V6が解散した	寂しいね
talk: 満員電車に乗ってしまった	嫌だよね
talk: 予約忘れてた	今からでも間に合うかもしれないよ
talk: 転んでズボンが破けた	ええええええぇ！？どんな状況？？！
talk: 前回より少しだけ進んだ気がします。	応用なので仕方ない！少し時間を空けてもう一度チャレンジしてみよう！
talk: 他の方の回答をみてみるとそんなに簡単にできるのか!と思う。	そうやって他の人の回答を見るのも一つの勉強です！
talk: ニキビできた	皮膚科行こ
talk: 今日もAtCoderをやりましたがほとんど手詰まり状態でした。	友だちやコギーを頼りながら、少しでも進められるようになろう！
talk: 自分より才能がある人に嫉妬する	少しずつ努力しよう
talk: 写真写り悪くて載せれる写真ない	風景とか載せとけ
talk: 電車に乗り遅れた	乗り換えでダッシュ！
talk: 短気かも	すぐに熱くなれるんだね
talk: テスト赤点	知ってた？アインシュタインは物理の成績悪かったんだよ！あれ、ガリレオだっけな？
talk: お申し出受けた	堂々としてれば大丈夫
talk: アルゴリズムはやっぱり難しいです。	アルゴリズムはまず知識を身につけないとね
talk: プログラミング苦手で結構難しかったです。	だんだん慣れてくるはずです！頑張って！
talk: 郵便が届かない	気長に待ってみよう
talk: 近所のラーメン屋が潰れた	他店に食べに行こう
talk: 自分が不愛想だと思う	不愛想じゃないよ
