折れ線の線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
ヒストグラムの色をシーグリーンに指定する	plt.hist(データ列, color='seagreen')
黒色の四角マーカーをデータ列とリストの散布図に描く	plt.plot(xdata, ydata, marker='s', c='k')
文字列をエラーを無視してバイト列に変換する	s.encode(errors='ignore')
Pandasで、文字列のエポック秒からタイムスタンプにする	pd.to_datetime(s, unit='s', utc=True)
書き込み用に文字列の示すエンコーディングとしてファイルパスをオープンする]	open(filepath, mode='w', encoding=s)
表データを各列毎にグループ化して、列の合計を求める	df.groupby(column)[column2].sum()
平均値でデータフレームのリストカラムの欠損値を埋める	df[aList].fillna(df[aList].mean())
等間隔でリストをn個にビニングして、namesのラベルをつける	pd.cut(aList, n, labels=names)
日付時刻データが日曜日か調べる	aDatetime.weekday() == 6
Pandasで、エポック秒のデータフレームのcollから日付データにする	pd.to_datetime(df[col], unit='s', utc=True)
表データからカラムを４つだけ選択する	df[[column, column2, column3, column4]]
TSVファイルからCSVファイルをSJISで読み込む	pd.read_csv(filename, encoding='shift_jis')
最後の列をデータフレームから消す	df[df.columns[:-1]]
ミディアムアクアマリン色のヒストグラムを描画する	plt.hist(データ列, color='mediumaquamarine')
カラムを100の位で四捨五入して、整数型にする	ds.round(-2).astype(int)
パステル調のグラフの色をカラーコードに設定する	plt.plot(xdata, ydata, linestyle='pastel', color=rgb)
黒い星マーカーを用いて散布図を描画する	plt.plot(xdata, ydata, marker='*', c='k')
日付データにn分分、足す	aDate + datetime.timedelta(minutes=n)
ファイルを文字列の示すエンコーディングで開く]	open(filepath, encoding=s)
文字列中にひとつでも非英数字が含まれるか	any(not c.isalnum() for c in s)
集合の浅いコピー	aSet.copy()
折れ線グラフの色をミスティローズに指定する	plt.plot(データ列, データ列2, color='mistyrose')
ファイルから1文字、読み込む	f.read(1)
折れ線グラフの三角マーカーを黄色くする	plt.plot(データ列, データ列2, marker='^', markerfacecolor='y')
折れ線グラフを描画して、色をダーク・スラテグレーに設定する	plt.plot(データ列, データ列2, color='darkslategrey')
既存のファイルをSJISで追加できるようにオープンする]	open(filepath, mode='a', encoding='shift_jis')
中央値でデータフレームのリスト列の未入力値を埋める	df[aList].fillna(df[aList].median())
リストと配列の折れ線グラフを描画する	plt.plot(xdata, ydata)
データフレームのカラムをヒストグラムとして可視化する	plt.hist(df[column])
明るい色としてヒストグラムをプロットする	plt.hist(xdata, color='bright')
二つの集合に共通する要素からなる集合	aSet.intersection(aSet2)
グラフの文字化けを防ぐ	sns.set(font='IPAexGothic')
カウンタのそれぞれの項目をカウントだけ列挙する	aCounter.elements()
整数nが配列の一つ	n in aArray
データフレームのリストカラムの中の欠損値の合計を数える	df[aList].isna().sum()
データフレームの行と列を入れ替える	df.T
折れ線グラフの色を青くする	plt.plot(データ列, データ列2, color='b')
＜オプション＞グラフの色をフクシアに設定する	color = 'fuchsia'
配列の和	aArray + aArray2
＜オプション＞ドジャーブルーを用いる	color = 'dodgerblue'
ヒストグラムを描画して、色をスラグレーに設定する	plt.hist(データ列, color='slategray')
グラフの目的をスライドに設定する	sns.set(context='talk')
散布図を丸マーカーで描画する	plt.plot(xdata, ydata, marker='o')
ヒストグラムの色をネイビーに設定する	plt.hist(データ列, color='navy')
赤い▲印を折れ線グラフに描画する	plt.plot(データ列, データ列2, marker='^', markerfacecolor='r')
折れ線グラフの色をスレートブルーに指定する	plt.plot(データ列, データ列2, color='slateblue')
ヒストグラムを描画してその色をトマトにする	plt.hist(データ列, color='tomato')
範囲を指定して整数乱数を生成する	random.randint(最小値, 最大値)
乱数シードをnで固定する	random.seed(n)
日付データにn週間分、足す	aDate + datetime.timedelta(weeks=n)
データフレームの列がリストに含まれるデータを抽出する	df[df[column].isin(aList)]
＜オプション＞ディープスカイブルーにグラフの色を設定する	color = 'deepskyblue'
Pandasで、データ列のエポック秒から日付データにする	pd.to_datetime(ds, unit='s', utc=True)
＜オプション＞▲マーカーを描画する	marker = '^'
グラフの色を色差別なくする	sns.set(pallete='colorblind')
文字列の中で大文字・小文字を無視してパターンにマッチした文字列をリストに変換する	re.findall(pattern, s, flags=re.IGNORECASE)
＜オプション＞欠損値を先頭にする	na_position = 'first'
数式の展開を行う	sympy.expand(e)
線グラフを描画してその色をコーラルに設定する	plt.plot(データ列, データ列2, color='coral')
ヒストグラムを描画して、色を青くする	plt.hist(データ列, color='b')
オリベドラブ色のヒストグラムを描画する	plt.hist(データ列, color='olivedrab')
一点鎖線ヒストグラムを描画する	plt.hist(データ列, linestyle='dashbot')
＜オプション＞グラフの色をダークマゼンタに設定する	color = 'darkmagenta'
データフレームのグループの最小値	df.groupby(column).min()
データ列と数列の散布図を描画し、▽マーカーの色をカラーコードに変更する	plt.plot(xdata, ydata, marker='v', c=rgb)
文字列が全て大文字か調べる	s.isupper()
データ列とラベルを指定して、棒グラフを描画する	plt.bar(ラベル列, データ列)
＜オプション＞バリーウッド色を使用する	color = 'burlywood'
リストとデータ列の黒色の暗いグラフを描画する	plt.plot(xdata, ydata, linestyle='dark', color='k')
ヒストグラムを描画してその色をライトグレーに設定する	plt.hist(データ列, color='lightgray')
辞書上で項目名が既に定義されているか調べる	key in aDict
データ列を折れ線グラフに描画して、印を大バツにする	plt.plot(データ列, データ列2, marker='X')
カラーバーを付ける	plt.colorbar()
＜オプション＞グラフの色をスプリンググリーンに設定する	color = 'springgreen'
イテラブルとリストについて散布図をプロットし、、その大きさをnに設定する	plt.scatter(xdata, ydata, s=n)
アルファベットの大文字を全部見る	string.ascii_uppercase
データフレームの末尾n行を取り出す	df.tail(n)
データフレームのリストカラムの欠損値を後の行の値で埋める	df[aList].fillna(method='bfill')
ヒストグラムを描画してその色をローングリーンに指定する	plt.hist(データ列, color='lawngreen')
n個にリストをビニングする	pd.cut(aList, n)
折れ線グラフを描画して、その色をシアンに設定する	plt.plot(データ列, データ列2, color='cyan')
本日の日付	datetime.date.today()
イテラブルを文字列リストに変換して、タブで連結する	'\t'.join(map(str, iterable))
＜オプション＞グラフの色をナバホホワイトに指定する	color = 'navajowhite'
整数nの二進表現	bin(n)
ヒストグラムを描画して、その色をパープルに設定する	plt.hist(データ列, color='purple')
ダークスラテグレー色のヒストグラムを描画する	plt.hist(データ列, color='darkslategray')
リストと配列について散布図を描画して下三角マーカーの色をカラーコードに設定する	plt.plot(xdata, ydata, marker='v', c=rgb)
線グラフを描画して、その色をピーチパフに変更する	plt.plot(データ列, データ列2, color='peachpuff')
ヒストグラムを描画して、色をサドルブラウンに指定する	plt.hist(データ列, color='saddlebrown')
自然数個からk個取り出した時の並べ方の総数	math.perm(n, k)
折れ線グラフを描画して、その色をロイヤルブルーに設定する	plt.plot(データ列, データ列2, color='royalblue')
＜オプション＞インディアンレッドを使用する	color = 'indianred'
カラムの欠損値をxで補う	ds.fillna(x)
データフレームを複数の列によってソートして、NaNを先頭にする	df.sort_values(by=column, na_position='first')
タイムスタンプデータからn時間を減算する	aDatetime - datetime.timedelta(hours=n)
ヒストグラムの範囲を設定する	plt.hist(データ列, range=(start, end))
Pandasの日付型のデータ列をデータフレームのインデックスにする	df.index = pd.DatetimeIndex(ds)
文字列から日付時刻にする	datetime.datetime.fromisoformat(日付の書かれた文字列)
＜オプション＞色をオレンジに指定する	color = 'orange'
タプル内の要素が少なくともひとつ真かどうか	any(aTuple)
リストとリストについての散布図にカラーコードの右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>', c=rgb)
データ列とリストについて黒色の色差別ないグラフをプロットする	plt.plot(xdata, ydata, linestyle='colorblind', color='k')
データフレームのリストカラムの相関行列をヒートマップで描画する	sns.heatmap(df[aList].corr())
線グラフを描画して、その色をダークオレンジにする	plt.plot(データ列, データ列2, color='darkorange')
リストの先頭を使う	aList[0]
無限に数え上げるする	itertools.count()
リストと数列の折れ線グラフを描画してその色をカラーコードに設定する	plt.plot(xdata, ydata, color=rgb)
グラフにx=0の破線を付ける	plt.axvline(x=0, linestyle='dashed')
ベストな場所に凡例を入れる	plt.legend(loc='best')
ファイルパスの絶対パスを見る	os.path.abspath(filepath)
明るいグラフの線幅を指定する	plt.plot(xdata, ydata, linestyle='bright', linewidth=n)
＜オプション＞青緑色を使う	color = 'teal'
nが1、もしくは2もしくは3に等しい	n == 1 or n == 2 or n == 3
データフレームから列を二つのみ選択する	df[[column, column2]]
線グラフの色をラベンダーに指定する	plt.plot(データ列, データ列2, color='lavender')
マゼンタで文字列をプリントする	print(f'\033[35m{value}\033[0m')
データフレームの列のNaNを平均値にする	df[col].fillna(df[col].mean())
Pandasで、文字列を日付データにする	pd.to_datetime(s)
リストと配列について青い濃いを描画する	plt.plot(xdata, ydata, linestyle='deep', color='b')
データフレームからカテゴリデータの列名の一覧を見る	df.select_dtypes('object').columns
折れ線グラフを描画して、色をダークマゼンタに設定する	plt.plot(データ列, データ列2, color='darkmagenta')
キーが辞書上で定義済みか調べる	key in aDict
文字列はタイトル大文字小文字	s.istitle()
数式を簡略にする	sympy.sympify(e)
文字列の開始位置番目と終了位置番目の間に部分文字列が含まれないか	s.find(sub, start, end) == -1
文字列がタプルに含まれないか確認する	element not in aTuple
折れ線グラフの大バツマーカーを青色にする	plt.plot(データ列, データ列2, marker='X', markerfacecolor='b')
グラフの描画で明るいカラーパレットを用いる	sns.set(pallete='bright')
オブジェクトはリストクラスか	isinstance(obj, list)
色差別ない色の折れ線を描画してその線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='colorblind')
文字列のサフィックスが部分文字列	s.endswith(sub)
二つのカウンタの共通する要素を求める	aCounter & aCounter2
リストとリストについてカラーコードの淡いグラフを描く	plt.plot(xdata, ydata, linestyle='muted', color=rgb)
データフレームをValueMapでまとめて置換する	df.replace(ValueMap)
データフレームのカラムが何秒か見る	df[col].dt.second
オプションで、出力先を標準出力に設定する	file = sys.stdout
文字列の右側から空白を除去する	s.rstrip()
ヒストグラムを描画して、その色をアンティークホワイトに設定する	plt.hist(データ列, color='antiquewhite')
リストとリストで濃いグラフを描画してその線幅をnに設定する	plt.plot(xdata, ydata, linestyle='deep', color=rgb)
データフレームのカラムの文字列を欠損値に変換する	df[col].replace(s, np.nan)
＜オプション＞色をライトブルーにセットする	color = 'lightblue'
日付時刻データと日付時刻データの時間差を秒で求める	(aDatetime - aDatetime2).total_seconds()
＜オプション＞色をダーク・スラテグレーに指定する	color = 'darkslategrey'
赤色の暗いの折れ線グラフを描画する	plt.plot(xdata, ydata, linestyle='dark', color='r')
nとn2の積	n * n2
データフレームのリストカラムのどの値が頻出か見る	df[aList].mode()
改行で区切って2つの実行結果をプリントする	print(value, value2, sep='\n')
＜オプション＞グラフの色をミッドナイトブルーに設定する	color = 'midnightblue'
実数を百の位で丸める	round(x, -2)
ヒストグラムを描画して、その色をゴーストホワイトに設定する	plt.hist(データ列, color='ghostwhite')
文字列を下線付きでプリントする	print(f'\033[4m{value}\033[0m')
パステル調の色としてデータ列についての柱状図をプロットする	plt.hist(xdata, color='pastel')
＜オプション＞トマト色を使う	color = 'tomato'
データフレーム全体をインデックスによって整列する	df.sort_index()
オブジェクトがタプル型か調べる	isinstance(obj, tuple)
ヒストグラムの色をダークオリーブグリーンにセットする	plt.hist(データ列, color='darkolivegreen')
データ列の中にある文字列の合計を数える	ds.isin([value]).sum()
ヒストグラムを描画して、その色をミディアムシアグリーンに変更する	plt.hist(データ列, color='mediumseagreen')
カラムの値でデータフレームをグループ化してグループごとの件数を知る	df.groupby(column).size()
実線ヒストグラムを描画する	plt.hist(データ列, linestyle='solid')
列のユニークな値を見る	ds.unique()
折れ線グラフを描画して、色をオリーブに指定する	plt.plot(データ列, データ列2, color='olive')
グラフの色を明るくする	sns.set(pallete='bright')
数式を積分する	sympy.integrate(e)
範囲を指定して部分文字列を文字列の後ろから探す	s.find(sub, start, end)
リストとデータ列について散布図を描画する	plt.scatter(xdata, ydata)
リストとリストのカラーコードの明るいグラフを描画する	plt.plot(xdata, ydata, linestyle='bright', color=rgb)
実数を切り下げて整数に変換する	math.floor(x)
折れ線グラフに黒い左三角印を描画する	plt.plot(データ列, データ列2, marker='<', markerfacecolor='k')
＜オプション＞サーモン色を使用する	color = 'salmon'
ヒストグラムを描画して、色をハニーデューに設定する	plt.hist(データ列, color='honeydew')
ファイルパスをバイナリ書き込みモードでオープンして]、fとする	f = open(filepath, mode='wb')
データフレームから指定されたデータ型の列名一覧を使う	df.select_dtypes(型).columns
ヒストグラムの色をローングリーンに設定する	plt.hist(データ列, color='lawngreen')
＜オプション＞マーカーを▼に変更する	marker = 'v'
変数をマゼンタでプリントできる文字列に変換する	f'\033[35m{value}\033[0m'
ファイルパスを文字列の示すエンコーディングを用いて開く]	open(filepath, encoding=s)
折れ線グラフの色を白に設定する	plt.plot(データ列, データ列2, color='white')
データフレームのカラムがxの行を抽出する	df[df[column] == x]
リストとリストでパステル調のグラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linestyle='pastel', linewidth=n)
ヒストグラムを描画して色を青に設定する	plt.hist(データ列, color='blue')
折れ線グラフの色を黄色くする	plt.plot(データ列, データ列2, color='y')
リストをn個に等間隔で分割して、namesのラベルをつける	pd.cut(aList, n, labels=names)
列の値でデータフレームを欠損値を含めてグループ化する	df.groupby(column, dropna=False)
文字列リストにリストを変換して、タブで結合する	'\t'.join(map(str, iterable))
ヒストグラムを描画してその色をダークマゼンタにする	plt.hist(データ列, color='darkmagenta')
データフレームを列によってグループ化して、それぞれのグループごとの個数を求める	df.groupby(column).count()
日付データからn秒分、引く	aDate - datetime.timedelta(seconds=n)
浮動小数点数の三乗	x ** 3
文字列を複数行対応として正規表現で分割する	re.split(pattern, s, flags=re.MULTILINE)
データフレームのn行目以降取り出す	df[n:]
データフレームから重複を落とす	df.drop_duplicates()
＜オプション＞ベージュに色を設定する	color = 'beige'
濃い色のマーカーで散布図をプロットする	plt.plot(xdata, ydata, c='deep')
データフレームの列を型にする	df[col] = df[col].astype(ty)
シーケンスを文字列リストに変換して、'改行で連結する	'\n'.join(map(str, iterable))
両端キューをタプルに変換する	tuple(deq)
データフレームのリストカラムの中の未入力値の数を数える	df[aList].isna().sum()
複数列のヒストグラムを一度に描画する	sns.pairplot(df[[column, column2, column3]])
線グラフの色をミッドナイトブルーにセットする	plt.plot(データ列, データ列2, color='midnightblue')
日付時刻データは何分か知る	aDatetime.minute
カウンタを低頻出方から列挙する	aCounter.most_common()[::-1]
折れ線グラフの色をコーンズシルクに設定する	plt.plot(データ列, データ列2, color='cornsilk')
日付時刻データを数値にする	aDatetime.timestamp()
ダークオリーブグリーン色のヒストグラムを描画する	plt.hist(データ列, color='darkolivegreen')
線グラフを描画して、その色をダークオーキッドに設定する	plt.plot(データ列, データ列2, color='darkorchid')
＜オプション＞ダークグレー色を使う	color = 'darkgrey'
が名前付きタプル型	hasattr(obj, '_asdict') and hasattr(obj, '_fields')
イテラブルからn個、サンプリングする	random.sample(iterable, k=n)
データフレームを用いる	import pandas as pd
＜オプション＞読み込み用に指定する	mode = 'r'
文字列内に数字がある	any(c.isdigit() for c in s)
赤いポイントマーカーを用いて散布図を描画する	plt.plot(xdata, ydata, marker='.', c='r')
ビン数nで等量でデータ列をビン分割する	pd.qcut(ds, n)
イテラブルについてのヒストグラムをパステル調の色として描画する	plt.hist(xdata, color='pastel')
データフレームの列の第三四分位数	df[col].quantile(0.75)
データフレームを'A'列の値によってまとめたグループ	df.groupby('A')
＜オプション＞ラベンダー色を使う	color = 'lavender'
折れ線グラフに線幅nのバツ印を描画する	plt.plot(データ列, データ列2, marker='x', markeredgewidth=n)
折れ線グラフを描画して、その色を紺に指定する	plt.plot(データ列, データ列2, color='darkblue')
ヒストグラムをビン数をnに設定して描く	plt.hist(データ列, bins=n)
折れ線グラフにサイズnのダイアモンドマーカーを描画する	plt.plot(データ列, データ列2, marker='D', markersize=n)
＜オプション＞改行をセパレータで使う	sep = '\n'
折れ線グラフを描画して、その色をライムに指定する	plt.plot(データ列, データ列2, color='lime')
折れ線グラフの色を黒くする	plt.plot(データ列, データ列2, color='k')
Pandasで書式でデータ列を日付データに変換する	pd.to_datetime(ds, format='%Y-%m-%d')
床	math.floor(x)
ライトグレー色の線グラフを描画する	plt.plot(データ列, データ列2, color='lightgrey')
初期値で全要素を初期化された配列	np.full(要素数, 初期値, dtype=np.int)
折れ線グラフに大きさnの丸印を描画する	plt.plot(データ列, データ列2, marker='o', markersize=n)
黒いパステル調のグラフを描画する	plt.plot(xdata, ydata, linestyle='pastel', color='k')
ヒストグラムの色を紺碧に設定する	plt.hist(データ列, color='azure')
正規分布で乱数を求める	random.normalvariate(mu=0.5, sigma=0.2)
nが偶数	n % 2 == 0
ダークオリーブグリーンにヒストグラムの色を変更する	plt.hist(データ列, color='darkolivegreen')
データフレームから型の列だけ抽出する	df.select_dtypes(ty)
データフレームを各列と列の組み合わせ毎にグループ化し、、最小値を求める	df.groupby([column, column2], as_index=False).min()
文字列が文字列リストのいづれ	s in aStringList
二つのデータフレームを異なるカラムをキーとして結合する	pd.merge(df, df2, left_on='A', right_on='B')
リストのn番目の要素を削除する	del aList[n]
タブ文字を見る	'\t'
データフレームの指定された列を取り出す	df[column]
＜オプション＞バイナリ書き込みモードを使う	mode = 'wb'
ヒストグラムの色をシスルに設定する	plt.hist(データ列, color='thistle')
数字を全部見る	string.digits
ディレクトリを求める	os.getcwd()
要素が全て1のベクトル	np.ones(要素数, dtype=np.int)
茶色色の線グラフを描画する	plt.plot(データ列, データ列2, color='brown')
ヒストグラムを描画して、その色をグレーに設定する	plt.hist(データ列, color='grey')
ベクトルの標準偏差	np.std(aArray)
＜オプション＞分割記号を使わない	sep = ''
ブラック色の線グラフを描画する	plt.plot(データ列, データ列2, color='black')
＜オプション＞セパレータをコロンにする	sep = ':'
nが無限に続く数列	itertools.repeat(n)
実数を実数で	x // y
配列の要素ごとの積	np.multiply(aArray, aArray2)
列'A'と列'B'をキーにして２つのデータフレームを外部結合する	pd.merge(df, df2, left_on=column, right_on=column2, how='outer')
折れ線グラフの色をライトコーラルにセットする	plt.plot(データ列, データ列2, color='lightcoral')
グラフにy=0の破線を付ける	plt.axhline(y=0, linestyle='dashed')
JSON形式の文字列を読み込む	json.loads(jsonString)
イテラブルとリストについて散布図を描画して、マーカーを丸に設定する	plt.plot(xdata, ydata, marker='o')
ヒストグラムを描画してその色をバリーウッドにセットする	plt.hist(データ列, color='burlywood')
ふたつの集合が共通の要素を持たないか調べる	aSet.isdisjoint(aSet2)
異なるn個のものからk個選ぶ場合の数	math.comb(n, k)
データフレームから指定されたデータ型の列名の一覧	df.select_dtypes(型).columns
＜オプション＞オールドレース色を使う	color = 'oldlace'
TSVファイルからデータフレームを読み込む	pd.read_csv(filename, sep='\t', encoding='shift_jis')
イテラブルからカウンタを新規生成する	collections.Counter(iterable)
＜オプション＞グラフの色をオレンジレッドに設定する	color = 'orangered'
データフレームの列の名前一覧で指定されたカラムを削除する	df.drop(columns, axis=1)
＜オプション＞グラフの色をライトコーラルに設定する	color = 'lightcoral'
＜オプション＞ダークブルー色を用いる	color = 'darkblue'
データフレームを列名リストをキーにして並べる	df.sort_values(by=column)
折れ線グラフを描画して、色をライトスレイグレーに設定する	plt.plot(データ列, データ列2, color='lightslategrey')
文字列の両端から部分文字列を取り除く	s.strip(sub)
キーがマップ上で定義済みか	key in aDict
xが1、もしくは2、もしくは3に等しい	x == 1 or x == 2 or x == 3
＜オプション＞読み込む行番号をnamesで指定する	usecols = names
ダークオリーブグリーン色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkolivegreen')
文字列の開始位置からと終了位置までの間に部分文字列が含まれないか	s.find(sub, start, end) == -1
ヒストグラムの色をピンクに指定する	plt.hist(データ列, color='pink')
文字列を最後の部分文字列で分割したときの前半の文字列を求める	s.rpartition(sub)[0]
文字列で区切って二つの文字列をプリントする	print(value, value2, sep=s)
折れ線グラフの色をライトコーラルにする	plt.plot(データ列, データ列2, color='lightcoral')
カラーコードの菱形マーカーを用いて散布図をプロットする	plt.plot(xdata, ydata, marker='D', c=rgb)
データフレームのリスト列のNaNを最頻値で埋める	df[aList].fillna(df[aList].mode().iloc[0])
文字列の両端から余分な空白を取り除く	s.strip()
データフレームのリストカラムの欠損値を直後の値で埋める	df[aList].fillna(method='bfill')
大バツマーカーで散布図をプロットする	plt.plot(xdata, ydata, marker='X')
文字列を走査し正規表現にマッチするか調べる	re.search(pattern, s)
ヒストグラムを描画して、色をトマトに変更する	plt.hist(データ列, color='tomato')
双方向キューの中に要素が含まれてる	element in deq
ヒストグラムを描画して色をシエナに変更する	plt.hist(データ列, color='sienna')
両端キューのstart〜endの部分値	collections.deque(itertools.islice(deq, start, end))
文字列を最初の部分文字列で二分する	s.partition(sub)
黄色色の線グラフを描画する	plt.plot(データ列, データ列2, color='yellow')
＜オプション＞ハニーデュー色を使う	color = 'honeydew'
2つのデータフレームを縦方向に連結する	pd.concat([df, df2], axis=0)
折れ線グラフの色を青紫に設定する	plt.plot(データ列, データ列2, color='violet')
リストとリストの明るいグラフを描画してその色を黒にする	plt.plot(xdata, ydata, linestyle='bright', color='k')
データフレームからカテゴリデータの列のみ抽出する	df.select_dtypes('object')
行列から重複を除いた配列を作成する	np.unique(aArray)
ヒストグラムを描画して、その色をロイヤルブルーに指定する	plt.hist(データ列, color='royalblue')
変数が無限大に近づくときの数式の極限値を求める	sympy.limit(e, z, oo)
折れ線グラフのバツマーカーの大きさをnに設定する	plt.plot(データ列, データ列2, marker='x', markersize=n)
折れ線グラフを描画して、その色をミスティローズに変更する	plt.plot(データ列, データ列2, color='mistyrose')
折れ線グラフの色をライトグリーンに設定する	plt.plot(データ列, データ列2, color='lightseagreen')
データフレームのリスト列の平均値	df[aList].mean()
メディアンでデータ列のNaNを埋める	ds.fillna(ds.median())
タプルを順序付けする	enumerate(aTuple)
実数がNaN	math.isnan(x)
ふたつの集合の和集合を計算する	aSet.union(aSet2)
ヒストグラムを描画して、色をダーク・スラテグレーに設定する	plt.hist(データ列, color='darkslategrey')
パールゴールデンロッドにヒストグラムの色を指定する	plt.hist(データ列, color='palegoldenrod')
配列の行ごとの平均を算出する	np.mean(aArray, axis=1)
黒色で数値を表示する	print(f'\033[30m{value}\033[0m')
nで乱数シードを固定する	random.seed(n)
SJISでタブ区切りのファイルを読み込む	pd.read_csv(filename, encoding='shift_jis')
ファイルパスが存在しないか調べる	not os.path.exists(filepath)
淡い色でリストについての度数分布図をプロットする	plt.hist(xdata, color='muted')
折れ線グラフを描画して、その色をアクアマリンに設定する	plt.plot(データ列, データ列2, color='aquamarine')
リストの変化を折れ線グラフに描く	plt.plot(range(len(xdata)), xdata)
折れ線グラフを描画して、その色をアクアに指定する	plt.plot(データ列, データ列2, color='aqua')
文字列が文字列リストにあるか	s in aStringList
Pandasで、データフレームのcollを日付データに変換する	pd.to_datetime(df[col])
折れ線グラフの右三角マーカーのサイズをnに設定する	plt.plot(データ列, データ列2, marker='>', markersize=n)
ヒストグラムの色をミスティローズに設定する	plt.hist(データ列, color='mistyrose')
オブジェクトのバイトサイズを調べる	sys.getsizeof(obj)
線グラフを描画してその色をサドルブラウンに設定する	plt.plot(データ列, データ列2, color='saddlebrown')
線グラフを描画して、その色をブラックに設定する	plt.plot(データ列, データ列2, color='black')
ダークサーモン色の線グラフを描画する	plt.plot(データ列, データ列2, color='darksalmon')
インタプリタの実行ファイルの絶対パスを知る	sys.executable
ひとつでも英数字が文字列内に含まれるか調べる	any(c.isalnum() for c in s)
実数の平方根を求める	math.sqrt(x)
ターコイズ色の線グラフを描画する	plt.plot(データ列, データ列2, color='turquoise')
データ列の分を求める	ds.dt.minute
実数から浮動小数点数を減算する	x - y
リストとリストについて散布図を描画して、クロスマーカーの色をカラーコードに設定する	plt.plot(xdata, ydata, marker='x', c=rgb)
データフレームをグループ化し、それぞれの列に対し平均値を求める	df.groupby(column)[column2].mean()
データフレームを各列と列の組み合わせ毎にグループ化して、合計を求める	df.groupby([column, column2], as_index=False).sum()
＜オプション＞アイボリー色を用いる	color = 'ivory'
正規表現patternでreplにデータフレームのリストカラムの値を置換する	df[aList].replace(pattern, repl, regex=True)
＜オプション＞グラフの色を茶色にセットする	color = 'brown'
折れ線グラフの▽マーカーを赤くする	plt.plot(データ列, データ列2, marker='v', markerfacecolor='r')
文字列の中の大文字・小文字を無視して正規表現による全てのマッチを使う	re.findall(pattern, s, flags=re.IGNORECASE)
ひとつでも非英字が文字列中にあるかどうか判定する	any(not c.isalpha() for c in s)
エポック秒から日付時刻に変換する	datetime.datetime.fromtimestamp(timestamp)
日付時刻データが日付時刻データより後ろか調べる	aDatetime > aDatetime2
文字列を青色でプリントできる文字列に変換する	f'\033[34m{value}\033[0m'
散布図に赤い三角マーカーを使う	plt.plot(xdata, ydata, marker='^', c='r')
＜オプション＞小麦色を使用する	color = 'wheat'
に鉛直方向の一点鎖線を付ける	plt.axvline(x=0, linestyle='dashbot')
データフレームの列の値がx以上の行を抽出する	df[df[column] >= x]
折れ線グラフの下三角マーカーを黄色くする	plt.plot(データ列, データ列2, marker='v', markerfacecolor='y')
＜オプション＞カデットブルーにグラフの色を変更する	color = 'cadetblue'
部分文字列が文字列の開始位置からと終了位置の間に含まれるか調べる	s.find(sub, start, end) != -1
八進文字列を整数に変換する	int(s, 8)
線グラフの色をライトグリーンに変更する	plt.plot(データ列, データ列2, color='lightgreen')
データフレームから重複した行をドロップして、入れ替える	df.drop_duplicates(inplace=True)
配列を色差別ない色のヒストグラムで描く	plt.hist(xdata, color='colorblind')
日付時刻データが何年か知る	aDatetime.year
列の値を正規表現でまとめてreplに置き換える	ds.replace(pattern, repl, regex=True)
出力ストリーム全体をリストとして読み込む	f.readlines()
＜オプション＞バイナリ用に指定する	mode = 'rb'
nとn2の商	n / n2
実数は無限大かどうか確認する	math.isinf(x)
辞書に項目名が存在していないとき、要素を追加する	aDict.setdefault(key, element)
＜オプション＞アクアマリン色を用いる	color = 'aquamarine'
整数をゼロ埋めした文字列に変換する	str(n).zfill(文字列幅)
＜オプション＞グラフの色をミディアムスプリンググリーンに設定する	color = 'mediumspringgreen'
＜オプション＞マルーン色を用いる	color = 'maroon'
実行結果を下線付きにする	f'\033[4m{value}\033[0m'
両端キューに文字列をenqueueする	deq.appendleft(element)
散布図にカラーコードの△マーカーを用いる	plt.plot(xdata, ydata, marker='^', c=rgb)
行列のムーア・ペンローズの擬似逆行列を算出する	np.linalg.pinv(aArray)
nの無限なイテラブル	itertools.repeat(n)
データフレームから型リストで指定したデータ型の列のみ除外する	df.select_dtypes(exclude=typeList)
データフレームのカラムの中にいくつ文字列があるか数える	df[col].isin([value]).sum()
文字列をキャピタライズする	s.capitalize()
実数の常用対数	math.log10(x)
＜オプション＞書き込みモードに設定する	mode = 'w'
リストとリストについて散布図を描画する	plt.scatter(xdata, ydata)
黒いポイントマーカーをリストと数列についての散布図にプロットする	plt.plot(xdata, ydata, marker='.', c='k')
タプルをカンマ区切りで表示する	print(*aTuple, sep=',')
リストとリストについてパステル調の色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='pastel')
リストとリストについて散布図を描画して、右三角マーカーの色をカラーコードに設定する	plt.plot(xdata, ydata, marker='>', c=rgb)
折れ線グラフを描画して、色をダークグリーンに変更する	plt.plot(データ列, データ列2, color='darkgreen')
折れ線グラフを描画して、色をモカシンにする	plt.plot(データ列, データ列2, color='moccasin')
各列毎にデータフレームを集計して、列の最小値を求める	df.groupby(column)[column2].min()
縦に３つのデータフレームを合体させる	pd.concat([df, df2, df3], axis=0)
データ列とリストについて散布図を描画し、、マーカーを星に設定する	plt.plot(xdata, ydata, marker='*')
キューの右側に数値を追加する	deq.append(element)
