option: 赤色を使う	color = 'red'
折れ線グラフの星マーカーを黒くする	plt.plot(データ列x, データ列y, marker='*', markerfacecolor='k')
デピンク色で線グラフを描画する	plt.plot(データ列x, データ列y, color='deeppink')
nがn2より大きいか調べる	n > n2
リストとリストについての散布図に右三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='>')
試しに何か動かす	print('Hello World')
データフレームのカラムの各データ値の出現数	df[col].value_counts()
データフレームをある列によって昇順に破壊的にソートする	df.sort_values(by='列A', ascending=True, inplace=True)
折れ線グラフをライトグリーン色で描画する	plt.plot(データ列x, データ列y, color='lightgreen')
長さが一致しない版のzip	itertools.zip_longest(iterable, iterable2)
棒グラフの色をダークレッドにする	plt.bar(データ列x, データ列y, color='darkred')
散布図の色をサドルブラウンにする	plt.scatter(データ列x, データ列y, color='saddlebrown')
文字列をシアン化する	f'\033[36m{value}\033[0m'
等間隔の配列を作る＼	np.arange(開始値, 終了値, 等差)
折れ線グラフに菱形マーカーを加える	plt.plot(データ列x, データ列y, marker='D')
配列とリストの散布図を描画して、ポイントマーカーの色をrgbに設定する	plt.plot(データ列x, データ列y, marker='.', c=rgb)
データシリーズの欠損値を平均値に設定する	ds.fillna(ds.mean())
棒グラフをライトグリーン色で描画する	plt.bar(データ列x, データ列y, color='lightgreen')
xの小数点以下'5'桁までの文字列に変換する	':.5f'.format(x)
ダイアモンドマーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='D')
ダークオーキッドにヒストグラムの色を設定する	plt.hist(データ列, color='darkorchid')
行列の形状を変形する	aArray.reshape(行数, 列数)
option: グラフの色をターコイズに設定する	color = 'turquoise'
ミディアムパープル色で線グラフを描画する	plt.plot(データ列x, データ列y, color='mediumpurple')
option: グラフの色をオレンジレッドに変更する	color = 'orangered'
ガウス過程としてクラス分類を行う	model = sklearn.gaussian_process.GaussianProcessClassifier()
整数nをバイト列に変換する	n.to_bytes((n.bit_length() + 7) // 8, byteorder='big')
行列の標準偏差	np.std(aArray)
ヒストグラムをフクシア色で描画する	plt.hist(データ列, color='fuchsia')
option: マーカーを△に変更する	marker = '^'
リストと配列についての散布図に赤い大バツマーカーを描画する	plt.plot(データ列x, データ列y, marker='X', c='r')
黄色い折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='y')
option: マーカーの色をダークサーモンにする	markerfacecolor = 'darksalmon'
辞書から最後の項目をポップする	aDict.popitem()
リストとリストについて散布図を描画して、星マーカーの色をrgbに設定する	plt.plot(データ列x, データ列y, marker='*', c=rgb)
デピンク色で横棒グラフを描画する	plt.barh(データ列x, データ列y, color='deeppink')
ヒストグラムをインディゴ色で描画する	plt.hist(データ列, color='indigo')
リストとリストについての散布図にrgbの四角マーカーを描画する	plt.plot(データ列x, データ列y, marker='s', c=rgb)
ヒストグラムの色をナバホホワイトに設定する	plt.hist(データ列, color='navajowhite')
散布図に黒い大バツマーカーを使う	plt.plot(データ列x, データ列y, marker='X', c='k')
ファイルをバイナリできるようにオープンする]	open(filepath, mode='rb')
散布図を青くする	plt.scatter(データ列x, データ列y, color='b')
データ列の推移を青い実線で描画する	plt.plot(データ列x, データ列y, linestyle='solid', color='b')
縦軸の目盛りに文字列を付ける	plt.yticks([0, 60, 90], ['不可', '可', '秀'])
カテゴリごとにデータフレームの棒グラフを縦横に並べる	sns.catplot(kind='bar', y='列名', col='カテゴリ名', row='カテゴリ名', data=df)
折れ線グラフを赤い点線で描画する	plt.plot(データ列x, データ列y, linestyle='dotted', color='r')
ホワイトスモーク色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='whitesmoke')
棒グラフをスカイブルー色で描画する	plt.bar(データ列x, データ列y, color='skyblue')
データシリーズの未入力値を中央値に設定する	ds.fillna(ds.median())
赤い丸マーカーを折れ線グラフに描画する	plt.plot(データ列x, データ列y, marker='o', markerfacecolor='r')
option: ラベンダーブラッシュ色を用いる	color = 'lavenderblush'
棒グラフの幅を調整する	plt.bar(ラベル列, データ列, width=0.5)
タイムスタンプデータからn分、減らす	aDatetime - datetime.timedelta(minutes=n)
データフレームをグループ化し、ある列に対し最小値を求める	df.groupby('列A')['列B'].min()
表データのあるカラムの月	df['列A'].dt.month
グラフの凡例の位置を(x,y)に設定する	plt.legend(loc=(x, y))
2つの列によって昇順にデータフレームをソートする	df.sort_values(by=['列A', '列B'], ascending=True)
散布図をデピンク色で描画する	plt.scatter(データ列x, データ列y, color='deeppink')
折れ線グラフの色をプラムに設定する	plt.plot(データ列x, データ列y, color='plum')
option: 色の透明度を設定する	alpha = 0.5
散布図をライトイエロー色で描画する	plt.scatter(データ列x, データ列y, color='lightyellow')
オールドレース色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='oldlace')
配列を等量でビン数nでビニングする	pd.qcut(aArray, n)
option: 欠損値を含めない	dropna = True
トマト色の縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='tomato')
ヒストグラムをブルーバイオレット色として描画する	plt.hist(データ列, color='blueviolet')
データフレームのある列を取り出す	df['列A']
データフレームのカラムの調和平均を求める	scipy.stats.hmean(df['列A'])
サンディーブラウン色としてヒストグラムを描画する	plt.hist(データ列, color='sandybrown')
単位正方行列	np.identity(n)
横棒グラフの色を赤にする	plt.barh(データ列x, データ列y, color='red')
折れ線グラフのマーカーを右三角にする	plt.plot(データ列x, データ列y, marker='>')
nの二乗を計算する	n ** 2
二点間のユークリッド距離	math.dist(point, point2)
option: 区切りをコロンにする	sep = ':'
マルーン色のヒストグラムを描画する	plt.hist(データ列, color='maroon')
エポック秒の列から日付データに変換する	pd.to_datetime(df['列A'], unit='s', utc=True)
ペールグリーン色のヒストグラムを描画する	plt.hist(データ列, color='palegreen')
折れ線グラフのマーカーを丸にする	plt.plot(データ列x, データ列y, marker='o')
オブジェクトにプロパティがある	hasattr(obj, プロパティ名)
横棒グラフを青緑色で描画する	plt.barh(データ列x, データ列y, color='teal')
文字列がタプルの要素でないかどうか調べる	element not in aTuple
折れ線グラフの色をアクアマリンに設定する	plt.plot(データ列x, データ列y, color='aquamarine')
指定したカラムの中にある文字列と文字列の個数をカウントする	df['列A'].isin([value, value2]).sum()
横軸を対数目盛に変更する	plt.xscale('log')
縦棒グラフの色をライトグリーンにする	plt.bar(データ列x, データ列y, color='lightgreen')
ファイルをディレクトリ名とファイル名に分割する	os.path.split(filepath)
nをn2だけ増やす	n += n2
option: シエナを使う	color = 'sienna'
折れ線グラフの下三角マーカーの大きさを変更する	plt.plot(データ列x, データ列y, marker='v', markersize=2.0)
option: グラフの色を暗い赤に設定する	color = 'darkred'
リストとリストについて散布図を描画して、マーカーを三角に設定する	plt.plot(データ列x, データ列y, marker='^')
ファイルパスのファイル名	os.path.basename(filepath)
線グラフをダークスラテグレー色として描画する	plt.plot(データ列x, データ列y, color='darkslategray')
標準出力を得る	sys.stdout
折れ線グラフをミディアムバイオレットレッド色で描画する	plt.plot(データ列x, データ列y, color='mediumvioletred')
配列の最頻値	mode, count = scipy.stats.mode(配列)
二つのオブジェクトは同じ参照か調べる	obj is obj2
オレンジレッド色の縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='orangered')
異なる列をキーとしてデータフレームをジョインする	pd.merge(df, df2, left_on='列A', right_on='列B')
ミスティローズ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='mistyrose')
データシリーズが何年か見る	ds.dt.year
辞書をソートしてJSONフォーマットの文字列に変換する	json.dumps(aDict, ensure_ascii=False, sort_keys=True)
option: 貝殻色を使う	color = 'seashell'
データフレームの中の列をビン数nでビン分割して、namesのラベルをつける	pd.cut(df[col], n, labels=names)
散布図をインディゴ色で描画する	plt.scatter(データ列x, データ列y, color='indigo')
データシリーズの欠損値を中央値に設定する	ds.fillna(ds.median())
グリッド線	plt.grid(alpha=0.5)
グレー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='grey')
ファイルからn文字、読み込む	f.read(n)
データフレームの選択したカラムを百の位で丸めて、整数型にする	df[['列A', '列B']].round(-2).astype(int)
データフレームの選択した列の相関行列	df[['列A', '列B']].corr()
横向きに二つのデータフレームを結合する	pd.concat([df, df2], axis=1)
ヒストグラムの色をアンティークホワイトに設定する	plt.hist(データ列, color='antiquewhite')
折れ線グラフの色をダークカーキに設定する	plt.plot(データ列x, データ列y, color='darkkhaki')
ヒストグラムをコーンズシルク色を使って描画する	plt.hist(データ列, color='cornsilk')
変数が0に近づくときの数式の極限値を求める	sympy.limit(e, z, 0)
option: パパイヤウィップ色を使う	color = 'papayawhip'
option: パープルにグラフの色を設定する	color = 'purple'
ヒストグラムをライトスレイグレー色で描画する	plt.hist(データ列, color='lightslategray')
縦棒グラフの色を淡い茶色にする	plt.bar(データ列x, データ列y, color='tan')
グレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='grey')
rgbの右三角マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='>', c=rgb)
ダークスラテグレー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='darkslategray')
データフレームの欠損値を直後の値に設定する	df.fillna(method='bfill')
データフレームの指定したカラムがどの程度、分散しているか見る	df['列A'].var()
オプションで、ファイルを出力にする	file = sys.open(filename, 'w')
折れ線グラフに黒い三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='^', markerfacecolor='k')
ヒストグラムの色をダークサーモンに指定する	plt.hist(データ列, color='darksalmon')
option: グラフの色を紺碧に設定する	color = 'azure'
リストの要素を昇順に並べ直す	sorted(aList, reverse=False)
回帰モデルを交差検証する	sklearn.model_selection.cross_val_score(model, 説明変数, 目的変数, cv=5, scoring='r2')
nを否定する	not n
文字列を下線付きでプリントする	print(f'\033[4m{value}\033[0m')
リストとリストについて散布図を描画して、マーカーを下三角に指定する	plt.plot(データ列x, データ列y, marker='v')
カウンタの項目のカウント	aCounter[element]
無限大	math.inf
集合から要素を取り除く	aSet.remove(element)
データシリーズを小数点以下n桁で丸める	ds.round(n)
データフレームを列によってグループ化して、グループ名を列挙する	[name for name, _ in df.groupby('列A')]
散布図の左三角マーカーの色を変更する	plt.scatter(データ列x, データ列y, marker='<', markerfacecolor='#800080')
青紫色の線グラフを描画する	plt.plot(データ列x, データ列y, color='violet')
赤い左三角マーカーを散布図に描画する	plt.scatter(データ列x, データ列y, marker='<', markerfacecolor='r')
データフレームを二つの列によってグループ化し、要約統計量を求める	df.groupby(['列A', '列B']).describe()
棒グラフの色をミディアムスプリンググリーンにする	plt.bar(データ列x, データ列y, color='mediumspringgreen')
nプラスn2	n + n2
option: 大バツマーカーを加える	marker = 'X'
ライトグリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightgreen')
全要素を初期値で初期化した行列	np.full(要素数, 初期値, dtype=np.int)
nからstep間隔で無限にカウントアップする	itertools.count(start=n, step=step)
散布図に右三角マーカーを使う	plt.scatter(データ列x, データ列y, marker='>')
ヒストグラムの描いて、正規化する	plt.hist(データ列, density=True)
切り捨てながらnをn2分の１にする	n //= n2
データフレームのあるカラムが何曜日か知る	df['列A'].dt.weekday_name
ゼロ埋めされた符号なし８ビット整数型の配列を作成する	np.zeros(要素数, dtype=np.uint8)
散布図をライトグリーン色として描画する	plt.scatter(データ列x, データ列y, color='lightgreen')
option: 追加用に設定する	mode = 'a'
ファイルからファイル名を使う	os.path.basename(filepath)
option: 色をライトシアンに設定する	color = 'lightcyan'
option: エラーを無視するように設定する	errors = 'ignore'
正規分布の累積分布関数	scipy.stats.norm.cdf(x, loc=平均値, scale=標準偏差)
散布図の色をトマトにする	plt.scatter(データ列x, データ列y, color='tomato')
データフレームの欠損値を直前の値に設定する	df.fillna(method='ffill')
ミディアムパープル色の線グラフを描画する	plt.plot(データ列x, データ列y, color='mediumpurple')
year年を日付にする	datetime.date(year=year, month=1, day=1)
ヒストグラムを白色で描画する	plt.hist(データ列, color='white')
線グラフをモカシン色で描画する	plt.plot(データ列x, データ列y, color='moccasin')
散布図をrgbの四角マーカーを用いて描画する	plt.plot(データ列x, データ列y, marker='s', c=rgb)
棒グラフの色をスレートブルーにする	plt.bar(データ列x, データ列y, color='slateblue')
白色の散布図を描画する	plt.scatter(データ列x, データ列y, color='white')
散布図に赤い右三角印を描画する	plt.scatter(データ列x, データ列y, marker='>', markerfacecolor='r')
横棒グラフの色を貝殻にする	plt.barh(データ列x, データ列y, color='seashell')
散布図をダークスレートブルー色で描画する	plt.scatter(データ列x, データ列y, color='darkslateblue')
何回まで再帰ができるかを	sys.getrecursionlimit()
赤い一点鎖線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dashbot', color='r')
ミディアムアクアマリン色を用いて折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='mediumaquamarine')
イテラブルを両端キューに変換する	collections.deque(iterable)
割合付きの円グラフを描画する	plt.pie(データ列, startangle=90, autopct='%.2f%%')
散布図の右三角マーカーの大きさを変更する	plt.scatter(データ列x, データ列y, marker='>', markersize=2.0)
ナバホホワイト色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='navajowhite')
改行	'\n'
文字列を小文字に変換する	s.casefold()
折れ線グラフをライトスカイブルー色を用いて描画する	plt.plot(データ列x, データ列y, color='lightskyblue')
線グラフの色をサンディーブラウンに設定する	plt.plot(データ列x, データ列y, color='sandybrown')
ダークマゼンタにヒストグラムの色を設定する	plt.hist(データ列, color='darkmagenta')
折れ線グラフの四角マーカーを黒くする	plt.plot(データ列x, データ列y, marker='s', markerfacecolor='k')
棒グラフの色をブランチドアーモンドにする	plt.bar(データ列x, データ列y, color='blanchedalmond')
縦棒グラフの色をダークオリーブグリーンにする	plt.bar(データ列x, データ列y, color='darkolivegreen')
タプルの要素をソートする	sorted(aTuple)
横棒グラフをホットピンク色で描画する	plt.barh(データ列x, データ列y, color='hotpink')
折れ線グラフに黒いポイントマーカーを描画する	plt.plot(データ列x, データ列y, marker='.', markerfacecolor='k')
配列のSkewnessを算出する	scipy.stats.skew(配列, bias=False)
多次元データを特異値分解で淡く次元に次元削減する	sklearn.decomposition.TruncatedSVD(n_components=三).fit_transform(多次元データ)
集合から要素を全て取り除く	aSet.clear()
折れ線グラフの色を貝殻に設定する	plt.plot(データ列x, データ列y, color='seashell')
ファイルをBOM付きで書き込み用に開く]	open(filepath, mode='w', encoding='utf_8_sig')
散布図を赤い左三角マーカーで描画する	plt.plot(データ列x, データ列y, marker='<', c='r')
ふたつの列を組み合わせてグループ化し合計を求める	df.groupby(['列A', '列B'], as_index=False).sum()
折れ線グラフをコーンフラワーブルー色で描画する	plt.plot(データ列x, データ列y, color='cornflowerblue')
整数nの八進表記	oct(n)
サンディーブラウン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='sandybrown')
青い折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='b')
スラグレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='slategrey')
データフレームをグループ化し最小値を求める	df.groupby('列A').min()
データフレームの中の列をビン数nでビン分割する	pd.cut(df[col], n)
option: グラフの色をミントクリームに設定する	color = 'mintcream'
データフレームの列をカテゴリデータに変換する	df[col].astype(object)
耐火レンガ色のヒストグラムを描画する	plt.hist(データ列, color='firebrick')
option: グラフの色をシスルに設定する	color = 'thistle'
nがn2以下、または、n3以上か調べる	n <= n2 or n >= n3
実数が有限か調べる	math.isfinite(x)
ブルーバイオレット色で縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='blueviolet')
外れ値を除いた配列の算術平均を求める	scipy.stats.tmean(配列, limits=(下限, 上限), inclusive=(True, True))
折れ線グラフをオーキッド色として描画する	plt.plot(データ列x, データ列y, color='orchid')
option: ゴールド色を使う	color = 'gold'
option: マーカーの色をバリーウッドにする	markerfacecolor = 'burlywood'
二変数の最大値	max(x, y)
データフレームの列をヒストグラムを用いて描く	plt.hist(df[column])
赤い大バツマーカーを配列と配列についての散布図に描画する	plt.plot(データ列x, データ列y, marker='X', c='r')
日付データををn週間後に進める	aDate + datetime.timedelta(weeks=n)
option: ８ビット整数型を使用する	dtype = np.int8
レベッカパープル色の散布図を描画する	plt.scatter(データ列x, データ列y, color='rebeccapurple')
散布図の色をライトグリーンにする	plt.scatter(データ列x, データ列y, color='lightseagreen')
データ列をカテゴリデータに変換する	ds.astype(object)
散布図を茶色色で描画する	plt.scatter(データ列x, データ列y, color='brown')
赤い星マーカーを折れ線グラフに描画する	plt.plot(データ列x, データ列y, marker='*', markerfacecolor='r')
縦棒グラフの色を白にする	plt.bar(データ列x, データ列y, color='white')
自然数のGCD	math.gcd(n, n2)
リストの先頭のn要素を捨てる	aList[n:]
ロージーブラウン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='rosybrown')
部分文字列を範囲を指定して探す	s.find(sub, start, end)
最大値・最小値の範囲で一様な疑似乱数を得る	random.uniform(最小値, 最大値)
日付時刻データが日付時刻データより前かどうか調べる	aDatetime < aDatetime2
散布図の色をアクアにする	plt.scatter(データ列x, データ列y, color='aqua')
棒グラフをブルーバイオレット色で描画する	plt.bar(データ列x, データ列y, color='blueviolet')
棒グラフの色を茶色にする	plt.bar(データ列x, データ列y, color='brown')
モジュールを検索するパスにディレクトリを追加する	sys.path.append(dir)
実数の逆正接	math.atan(x)
文字列の中の正規表現による全マッチを使う	re.findall(pattern, s)
淡い茶色色の線グラフを描画する	plt.plot(データ列x, データ列y, color='tan')
ダークグレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkgrey')
option: グラフの色をタンに設定する	color = 'tan'
option: グラフの色をアイボリーに設定する	color = 'ivory'
縦棒グラフの色をサーモンにする	plt.bar(データ列x, データ列y, color='salmon')
パパイヤウィップ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='papayawhip')
ヒストグラムの色をダークゴールデンロッドに設定する	plt.hist(データ列, color='darkgoldenrod')
ヒストグラムをクリムゾン色で描画する	plt.hist(データ列, color='crimson')
横棒グラフを青緑色として描画する	plt.barh(データ列x, データ列y, color='turquoise')
option: サーモンにグラフの色を指定する	color = 'salmon'
ローングリーン色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='lawngreen')
棒グラフを茶色色で描画する	plt.bar(データ列x, データ列y, color='brown')
ヒストグラムをアリスブルー色で描画する	plt.hist(データ列, color='aliceblue')
散布図に黒いクロスマーカーを使う	plt.plot(データ列x, データ列y, marker='x', c='k')
日付時刻データからn時間分、減算する	aDatetime - datetime.timedelta(hours=n)
青色の散布図を描画する	plt.scatter(データ列x, データ列y, color='blue')
折れ線グラフのバツマーカーを青くする	plt.plot(データ列x, データ列y, marker='x', markerfacecolor='b')
リストを複製する	aList.copy()
プラットホームがLinuxか調べる	sys.platform.startswith('linux')
全部データフレームのカラムの値をValueMapで置換する	df['列A'].replace(ValueMap)
多次元データを主成分分析でパステル調に次元に次元削減する	sklearn.decomposition.PCA(n_components=N).fit_transform(多次元データ)
ライム色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lime')
データフレームの指定したカラムの要約統計量	df['列A'].describe()
散布図の色をインディアンレッドにする	plt.scatter(データ列x, データ列y, color='indianred')
nが偶数か確認する	n % 2 == 0
グラフの用途をスライドに設定する	sns.set(context='talk')
横棒グラフをシエナ色として描画する	plt.barh(データ列x, データ列y, color='sienna')
棒グラフの色をライトスチールブルーにする	plt.bar(データ列x, データ列y, color='lightsteelblue')
文字列が平仮名かどうか	('ぁ' <= ch <= 'ん')
ティール色のヒストグラムを描画する	plt.hist(データ列, color='teal')
データフレームから指定した二列を取り出す	df[['列A', '列B']]
ヒストグラムの色をティールに設定する	plt.hist(データ列, color='teal')
横棒グラフをハニーデュー色として描画する	plt.barh(データ列x, データ列y, color='honeydew')
散布図に黒い大バツマーカーを描画する	plt.scatter(データ列x, データ列y, marker='X', markerfacecolor='k')
データフレームをある列で小さい順に並べて、更新する	df.sort_values(by='列A', ascending=True, inplace=True)
折れ線グラフの色をダークオレンジに設定する	plt.plot(データ列x, データ列y, color='darkorange')
リストの文字列が最初に見つかるインデックス	aList.index(element)
シルバー色として棒グラフを描画する	plt.bar(データ列x, データ列y, color='silver')
ヒストグラムの色をビスクに設定する	plt.hist(データ列, color='bisque')
サポートベクターマシンでクラス分類をする	model = sklearn.svm.SVR(kernel='rbf', C=1e3, gamma=0.1, epsilon=0.1)
データフレームの棒グラフを各カテゴリごとに縦横に並べる	sns.catplot(kind='bar', y='列名', col='カテゴリ名', row='カテゴリ名', data=df)
配列の尖度	scipy.stats.kurtosis(配列, bias=False)
データフレームの選択した列が正規分布からどの程度歪んでいるか見る	df[['列A', '列B']].kurt()
ペールグリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='palegreen')
データフレームの選択したカラムを10の位で四捨五入する	df[['列A', '列B']].round(-1)
option: マーカーの色をオレンジレッドにする	markerfacecolor = 'orangered'
データフレームの選択したカラムのNaNをメディアンに設定する	df[['列A', '列B']].fillna(df[['列A', '列B']].median())
日付データにn時間分、加算する	aDate + datetime.timedelta(hours=n)
セパレータで文字列を分割して、文字列リストにする	s.split(sep)
ヒストグラムの色をグレーに設定する	plt.hist(データ列, color='grey')
タプルを順序付けする	enumerate(aTuple)
ミントクリームにヒストグラムの色を設定する	plt.hist(データ列, color='mintcream')
パレットトルコイズ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='paleturquoise')
散布図の色をダークオーキッドにする	plt.scatter(データ列x, データ列y, color='darkorchid')
データフレームから重複ありでランダムに10行をサンプリングする	df.sample(10, replace=True)
クリムゾン色のヒストグラムを描画する	plt.hist(データ列, color='crimson')
リストとリストについて散布図を描画して、マーカーを右三角に設定する	plt.plot(データ列x, データ列y, marker='>')
折れ線グラフをパパイヤウィップ色で描画する	plt.plot(データ列x, データ列y, color='papayawhip')
散布図をプラム色で描画する	plt.scatter(データ列x, データ列y, color='plum')
等間隔でデータフレームの中の列をn個にビンニングする	pd.cut(df[col], n)
横棒グラフの色を紺にする	plt.barh(データ列x, データ列y, color='darkblue')
散布図をダークスレートブルー色を使って描画する	plt.scatter(データ列x, データ列y, color='darkslateblue')
ドジャーブルー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='dodgerblue')
ある列の文字列が正規表現にマッチするデータを抽出する	df[df['列A'].str.match(正規表現)]
横棒グラフの色をマゼンタにする	plt.barh(データ列x, データ列y, color='magenta')
ヒストグラムの色をライトスレイグレーに指定する	plt.hist(データ列, color='lightslategray')
option: グラフの色をライムグリーンに変更する	color = 'limegreen'
データシリーズの標本分散	ds.var(ddof=0)
横棒グラフをクリムゾン色で描画する	plt.barh(データ列x, データ列y, color='crimson')
文字列中にひとつでも非アスキー文字が含まれるか調べる	any(not c.isascii() for c in s)
option: グラフの色をネイビーに指定する	color = 'navy'
ミディアムスレートブルー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='mediumslateblue')
文字列を隔離する	sys.intern(s)
複素数型のゼロ埋めされた配列を作る	np.zeros(要素数, dtype=bool)
タプルの要素を昇順にソートする	sorted(aTuple, reverse=False)
日付データををn分後に進める	aDate + datetime.timedelta(minutes=n)
ヒストグラムの色をダークバイオレットに設定する	plt.hist(データ列, color='darkviolet')
文字列は全て十進数字か調べる	s.isdecimal()
リストを度数分布図にする	plt.hist(データ列)
リストを縦棒グラフにする	plt.bar(ラベル列, データ列)
イテラブルを多重集合に変換する	collections.Counter(iterable)
横棒グラフをミディアムスプリンググリーン色で描画する	plt.barh(データ列x, データ列y, color='mediumspringgreen')
文字列を最後の部分文字列で分けたときの先頭の文字列	s.rpartition(sub)[0]
option: グラフの色をダークシアグリーンに設定する	color = 'darkseagreen'
データフレームからランダムに100行を抽出する	df.sample(100)
横棒グラフをスカイブルー色を用いて描画する	plt.barh(データ列x, データ列y, color='skyblue')
棒グラフをオレンジ色として描画する	plt.bar(データ列x, データ列y, color='orange')
暗い赤色のヒストグラムを描画する	plt.hist(データ列, color='darkred')
折れ線グラフの色をモカシンに設定する	plt.plot(データ列x, データ列y, color='moccasin')
事前に大文字・小文字を無視して正規表現をコンパイルする	re.compile(pattern, flag=re.IGNORECASE)
1からNまでの配列	np.arange(1, N+1)
リストとリストについての散布図に赤いバツマーカーを描画する	plt.plot(データ列x, データ列y, marker='x', c='r')
散布図の四角マーカーを青くする	plt.scatter(データ列x, データ列y, marker='s', markerfacecolor='b')
散布図をペルー色で描画する	plt.scatter(データ列x, データ列y, color='peru')
カラム名を指定して二つのデータフレームを内部ジョインする	pd.merge(df, df2, on='列A', how='inner')
散布図をオレンジ色で描画する	plt.scatter(データ列x, データ列y, color='orange')
シルバー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='silver')
データフレームの一部の列を正規表現patternでまとめて置き換える	df[['列A', '列B']].replace(pattern, repl, regex=True)
option: 線の幅を3.0ポイントに設定する	linewidth = 3.0
option: 青色を使う	color = 'blue'
決定木を表示する	sklearn.tree.plot_tree(model, feature_names=X.columns, filled=True)
文字列の先頭でASCII限定として正規表現にマッチさせる	re.match(pattern, s, flags=re.ASCI)
データフレームを並べる	df.sort_values('キーとなる列')
縦方向にデータフレームを連結する	pd.concat([df, df2], axis=0)
散布図を黒くする	plt.scatter(データ列x, データ列y, color='k')
散布図の色をインディゴにする	plt.scatter(データ列x, データ列y, color='indigo')
折れ線グラフをパールゴールデンロッド色として描画する	plt.plot(データ列x, データ列y, color='palegoldenrod')
整数乱数のベクトル	np.random.randint(開始値, 終了値, N)
棒グラフをシエナ色で描画する	plt.bar(データ列x, データ列y, color='sienna')
option: ピーチパフにグラフの色を設定する	color = 'peachpuff'
アクア色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='aqua')
option: 右三角マーカーを加える	marker = '>'
ファイルからバイナリ書き込みストリームを開いて]、fとする	f = open(filepath, mode='wb')
ダークグレー色のヒストグラムを描画する	plt.hist(データ列, color='darkgray')
ネイビー色のヒストグラムを描画する	plt.hist(データ列, color='navy')
option: 大文字・小文字を無視する	flag = re.IGNORECASE
二つのデータフレームを合体する	pd.concat([df, df2])
散布図をピンク色を用いて描画する	plt.scatter(データ列x, データ列y, color='pink')
自然対数を算出する	math.log(x)
ファイルに文字列を書き込む	f.write(s)
データフレームから一つの列を選ぶ	df[['列A']]
折れ線グラフをグレー色で描画する	plt.plot(データ列x, データ列y, color='gray')
左三角印を使って散布図を描画する	plt.scatter(データ列x, データ列y, marker='<')
データフレームを二つの列によって昇順にソートして、更新する	df.sort_values(by=['列A', '列B'], ascending=True, inplace=True)
箱ひげ図でデータ列を可視化する	plt.boxplot(データ列)
赤い左三角マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='<', c='r')
整数をゼロ埋めした文字列に変換する	str(n).zfill(文字列幅)
散布図に赤い左三角マーカーを使う	plt.plot(データ列x, データ列y, marker='<', c='r')
両端キューの末尾にイテラブルの各要素を追加する	deq.extend(iterable)
指定した値を使って二値化する	sklearn.preprocessing.Binarizer(threshold=閾値).fit_transform(データ列)
option: ロイヤルブルー色を用いる	color = 'royalblue'
横棒グラフをコーラル色で描画する	plt.barh(データ列x, データ列y, color='coral')
散布図の下三角マーカーを青くする	plt.scatter(データ列x, データ列y, marker='v', markerfacecolor='b')
ある列の値がxより大きくyより小さいデータを取り出す	df[(x < df['列A']) & (df['列A'] < y)]
日付データにn時間を加算する	aDate + datetime.timedelta(hours=n)
散布図に青い丸マーカーを描画する	plt.scatter(データ列x, データ列y, marker='o', markerfacecolor='b')
ダークオリーブグリーンにヒストグラムの色を設定する	plt.hist(データ列, color='darkolivegreen')
データシリーズの平均値	ds.mean()
配列の相関を可視化する	plt.scatter(データ列x, データ列y)
データフレームの標準偏差	df.std()
option: 四角マーカーを使う	marker = 's'
0から始まるn個の整数リスト	list(range(n))
データフレームを関数によって分類して、グループ名を列挙する	[name for name, _ in df.groupby(関数)]
バイオレット色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='violet')
