文字列を複数行対応としてパターンで区切る	re.split(pattern, s, flags=re.MULTILINE)
文字列の右側から空白を取り除く	s.rstrip(' ')
箱ひげ図でデータ列を可視化する	plt.boxplot(データ列)
データ列を折れ線グラフに描画して、マーカーを大バツ印にする	plt.plot(データ列, データ列2, marker='X')
色差別ない色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='colorblind', alpha=0.5)
リストとリストについて破線グラフを描画して、その色を色差別ないに設定する	plt.plot(xdata, ydata, linestyle='dash', color='colorblind')
ファイルとfilenameを結合する	os.path.join(filepath, filename)
ミッドナイトブルー色の線グラフを描画する	plt.plot(データ列, データ列2, color='midnightblue')
空行をプリントする	print()
＜オプション＞グラフの色をライトゴールドロディイエローに設定する	color = 'lightgoldenrodyellow'
配列をビン分割する	pd.cut(aArray, aList)
データフレームのリスト列の尖度	df[aList].skew()
データフレームの列のヒストグラムを描画する	plt.hist(df[column])
データフレームのカラムが正規分布からどの程度、歪んでいるか見る	df[col].kurt()
折れ線グラフに赤いバツマーカーを描画する	plt.plot(データ列, データ列2, marker='x', markerfacecolor='r')
nを切り捨てながら半分にする	n //= 2
日付時刻データにn分分、加算する	aDatetime + datetime.timedelta(minutes=n)
折れ線グラフに青い上三角マーカーを描画する	plt.plot(データ列, データ列2, marker='^', markerfacecolor='b')
n割るmの有理数表現	fractions.Fraction(numerator=n, denominator=m)
ヒストグラムを描画して、その色をピーチパフに設定する	plt.hist(データ列, color='peachpuff')
折れ線グラフの大バツマーカーの大きさをnに設定する	plt.plot(データ列, データ列2, marker='X', markersize=n)
配列をヒストグラムを用いて可視化する	plt.hist(aArray)
折れ線グラフに大きさnの四角マーカーを描画する	plt.plot(データ列, データ列2, marker='s', markersize=n)
リストを組に変換する	tuple(aList)
データフレームのリストカラムを1000の位で丸めて、整数型にする	df[aList].round(-3).astype(int)
折れ線グラフの丸印の大きさをnにする	plt.plot(データ列, データ列2, marker='o', markersize=n)
＜オプション＞欠損値は無視する	dropna = True
＜オプション＞ダークグレー色を使う	color = 'darkgray'
スラグレー色の線グラフを描画する	plt.plot(データ列, データ列2, color='slategray')
折れ線グラフを描画して、その色をオーキッドに設定する	plt.plot(データ列, データ列2, color='orchid')
折れ線グラフを描画して、その色をアクアに設定する	plt.plot(データ列, データ列2, color='aqua')
文字列の開始位置以降に部分文字列が含まれるか調べる	s.find(sub, start) != -1
濃いの折れ線グラフの色をカラーコードに設定する	plt.plot(xdata, ydata, linestyle='deep', color=rgb)
nがn2で割り切れないか調べる	n % n2 != 0
淡いカラーパレットをグラフの描画で用いる	sns.set(pallete='muted')
列を等量で分割数nでビニングする	pd.qcut(ds, n)
２つの文字列をスラッシュで区切ってプリントする	print(value, value2, sep='/')
＜オプション＞クリムゾン色を使う	color = 'crimson'
折れ線グラフを描画して、その色をビスクに設定する	plt.plot(データ列, データ列2, color='bisque')
＜オプション＞マーカーをバツに変更する	marker = 'x'
折れ線グラフの三角マーカーを黄色くする	plt.plot(データ列, データ列2, marker='^', markerfacecolor='y')
プロットのカラーパレットを全般的にパステル調にする	sns.set(pallete='pastel')
ヒストグラムの色をグレーに設定する	plt.hist(データ列, color='gray')
配列をリストを境界値としてビン分割する	pd.cut(aArray, aList)
ヒストグラムの色をスチールブルーにする	plt.hist(データ列, color='steelblue')
n2がn以上、かつ、n3以下か調べる	n <= n2 and n2 <= n3
データフレームの値を正規表現patternでまとめてreplに置き換える	df.replace(pattern, repl, regex=True)
データフレームのカラムがどの程度、分散しているか見る	df[col].var()
データフレームからランダムにn行を取り出す	df.sample(n)
データ列の歪度	ds.kurt()
データフレームのカラムの文字列を欠損値に変換する	df[col].replace(s, np.nan)
n個の整数列を作る	list(range(n))
淡いグラフの色を赤にする	plt.plot(xdata, ydata, linestyle='muted', color='r')
ヒストグラムの色をターコイズに設定する	plt.hist(データ列, color='turquoise')
度数分布図のアルファ値をxに設定する	plt.hist(データ列, alpha=x)
折れ線グラフの四角マーカーを黄色くする	plt.plot(データ列, データ列2, marker='s', markerfacecolor='y')
グラフにグリッド線を入れる	plt.grid(True)
日付時刻データが日付時刻データより後ろか調べる	aDatetime > aDatetime2
計算機イプシロン	sys.float_info.epsilon
データフレームをインデックスによって昇順にソートする	df.sort_index(ascending=True)
折れ線グラフのポイントマーカーを青くする	plt.plot(データ列, データ列2, marker='.', markerfacecolor='b')
ファイルパスをバイナリ書き込みモードを用いてオープンして]fとする	f = open(filepath, mode='wb')
データフレームの列名を指定された列の名前一覧に置き換える	df.columns = columns
＜オプション＞シルバーに色を設定する	color = 'silver'
線グラフを描画して、その色をライトゴールドロディイエローにする	plt.plot(データ列, データ列2, color='lightgoldenrodyellow')
＜オプション＞ダークグレーに色を設定する	color = 'darkgrey'
黒色の丸マーカーで散布図をプロットする	plt.plot(xdata, ydata, marker='o', c='k')
データフレームのリストカラムを百の位で丸めて整数型にする	df[aList].round(-2).astype(int)
＜オプション＞どの行もヘッダに設定しない	header = None
データ列を100の位で丸める	ds.round(-2)
リストとリストについて濃い色の折れ線グラフをプロットして、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='deep')
折れ線グラフの色をライトグレーに指定する	plt.plot(データ列, データ列2, color='lightgray')
暗い色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='dark')
サイコロと同じ乱数	random.randint(1, 6)
文字列の先頭で正規表現にマッチするか見る	re.match(pattern, s)
黒い星マーカーを散布図に使う	plt.plot(xdata, ydata, marker='*', c='k')
未初期化の行列	np.empty((行数, 列数), dtype=np.int)
＜オプション＞カーキ色を用いる	color = 'khaki'
データフレームを列の値によってグループ化し、要約統計量を求める	df.groupby(column).describe()
折れ線グラフを描画してその色をデピンクに設定する	plt.plot(データ列, データ列2, color='deeppink')
実数の自然対数	math.log(x)
nからn2までのひとつ飛ばしの整数列	list(range(n, n2+1, 2))
データフレームを100の位で丸めて、整数型にする	df.round(-2).astype(int)
グラフを使う準備をする	from sympy import N
オブジェクトのバイトサイズ	sys.getsizeof(obj)
データフレームをJSONLファイルにBOM付きで保存する	df.to_csv(filename, encoding='utf_8_sig')
折れ線グラフの色をブルーバイオレットに設定する	plt.plot(データ列, データ列2, color='blueviolet')
カウンタを高頻出方から列挙する	aCounter.most_common()
＜オプション＞グラフの色をグリーンに設定する	color = 'green'
＜オプション＞色をインディアンレッドに設定する	color = 'indianred'
折れ線グラフに黄色いポイントマーカーを描画する	plt.plot(データ列, データ列2, marker='.', markerfacecolor='y')
線グラフを描画して、その色をハニーデューに設定する	plt.plot(データ列, データ列2, color='honeydew')
リストとデータ列について散布図をプロットしてマーカーをバツに設定する	plt.plot(xdata, ydata, marker='x')
データフレームをインデックスを用いて降順でソートする	df.sort_index(ascending=False)
カウンタ同士で積集合	aCounter & aCounter2
＜オプション＞ダークオーキッド色を使う	color = 'darkorchid'
＜オプション＞グラフの色をパールバイオレットレッドに設定する	color = 'palevioletred'
ヒストグラムの色をダークオーキッドに設定する	plt.hist(データ列, color='darkorchid')
折れ線グラフを描画して、色をミディアムブルーに変更する	plt.plot(データ列, データ列2, color='mediumblue')
折れ線グラフの色をカラーコードに変更する	plt.plot(xdata, ydata, color=rgb)
ヒストグラムを描画して、その色をペールグリーンに設定する	plt.hist(データ列, color='palegreen')
＜オプション＞ビスク色を使用する	color = 'bisque'
＜オプション＞トマト色を使用する	color = 'tomato'
オブジェクトが名前付きタプルか調べる	hasattr(obj, '_asdict') and hasattr(obj, '_fields')
折れ線グラフの▲印を緑色にする	plt.plot(データ列, データ列2, marker='^', markerfacecolor='g')
名前付きタプルをデータからインスタンス化する	C._make(パラメータ)
xのハッシュ値	hash(x)
ユニークな要素ごとの頻度	np.unique(aArray, return_counts=True)
イテラブルをイミュータブルな集合に変換する	frozenset(iterable)
データフレームが正規分布からどの程度、歪んでいるか見る	df.kurt()
＜オプション＞青緑色を使う	color = 'teal'
＜オプション＞グラフの色をアリスブルーに設定する	color = 'aliceblue'
データ列の最頻値を求める	ds.mode()
リストとリストについての散布図にカラーコードの三角マーカーを描画する	plt.plot(xdata, ydata, marker='^', c=rgb)
データ列とリストについて暗いグラフを描いて、色を黒にする	plt.plot(xdata, ydata, linestyle='dark', color='k')
文字列が小文字か確認する	s.islower()
データ列を使う	import pandas as pd
データフレームの列の中にある文字列の合計を数える	df[col].isin([value]).sum()
リストとデータ列についての散布図に赤い星マーカーを描画する	plt.plot(xdata, ydata, marker='*', c='r')
折れ線グラフの色をタンに設定する	plt.plot(データ列, データ列2, color='tan')
ミディアムアクアマリン色の線グラフを描画する	plt.plot(データ列, データ列2, color='mediumaquamarine')
実数の床	math.floor(x)
データフレームを列の値によってグループ化する	df.groupby(column)
イテラブルにイテラブルを続ける	itertools.chain(iterable, iterable2)
折れ線グラフのダイアモンドマーカーを青くする	plt.plot(データ列, データ列2, marker='D', markerfacecolor='b')
折れ線グラフに緑色のポイント印を描画する	plt.plot(データ列, データ列2, marker='.', markerfacecolor='g')
横棒グラフの色をカラーコードに指定する	plt.barh(ラベル列, データ列, color=rgb)
文字列を緑色にする	f'\033[32m{value}\033[0m'
文字列の無限イテラブル	itertools.repeat(element)
配列が何のデータ型か	aArray.dtype()
集合＼集合	aSet.difference(aSet2)
線グラフの色をオールドレースに変更する	plt.plot(データ列, データ列2, color='oldlace')
＜オプション＞パパイヤウィップ色を使う	color = 'papayawhip'
配列とイテラブルについて青色の淡いグラフを描く	plt.plot(xdata, ydata, linestyle='muted', color='b')
＜オプション＞文字列の示すエンコーディングを使う	encoding = s
データフレームのリストカラムの要約統計量	df[aList].describe()
配列の形	aArray.shape
データフレームのカラムを100の位で丸めて、整数型にする	df[col].round(-2).astype(int)
折れ線グラフに緑色の丸マーカーを描画する	plt.plot(データ列, データ列2, marker='o', markerfacecolor='g')
＜オプション＞グラフの色をライトグレーに設定する	color = 'lightgrey'
マルーン色の線グラフを描画する	plt.plot(データ列, データ列2, color='maroon')
異なる列をキーとして二つのデータフレームを結合する	pd.merge(df, df2, left_on='A', right_on='B')
＜オプション＞グラフの色をレモンシフォンに設定する	color = 'lemonchiffon'
折れ線グラフに描画して、マーカーを左三角印にする	plt.plot(データ列, データ列2, marker='<')
二つのデータフレームを縦方向に連結する	pd.concat([df, df2], axis=0)
＜オプション＞グラフの色をターコイズに設定する	color = 'turquoise'
ヒストグラムの色を赤に変更する	plt.hist(データ列, color='red')
データフレームの中に文字列と文字列があるか調べる	df.isin([value, value2])
折れ線グラフの色をライトグリーンに変更する	plt.plot(データ列, データ列2, color='lightgreen')
nをn2で整数除算する	n // n2
データ列の値を正規表現patternでまとめてreplに置き換える	ds.replace(pattern, repl, regex=True)
プラム色のヒストグラムを描画する	plt.hist(データ列, color='plum')
数式の積分を求める	sympy.integrate(e)
＜オプション＞改行をセパレータで使う	sep = '\n'
オブジェクトをデバッグ向けの文字列に変換する	repr(obj)
文字列をフォーマットfmtを使って日付データに変換する	pd.to_datetime(s, format=fmt)
明るいグラフの色を青にする	plt.plot(xdata, ydata, linestyle='bright', color='b')
配列とリストについての散布図にバツマーカーを描画する	plt.plot(xdata, ydata, marker='x')
データフレームからランダムに抽出する	df.sample()
ヒストグラムを描画して、色をグレーに設定する	plt.hist(データ列, color='grey')
データフレームのリストカラムを100の位で丸める	df[aList].round(-2)
折れ線グラフの色をペールグリーンに変更する	plt.plot(データ列, データ列2, color='palegreen')
0から始まる無限数列	itertools.count()
ヒストグラムを実線で描画する	plt.hist(データ列, linestyle='solid')
全要素を初期値で初期化された配列	np.full(要素数, 初期値, dtype=np.int)
折れ線グラフの色を黄色に設定する	plt.plot(データ列, データ列2, color='yellow')
データ列をインポートする	import pandas as pd
集合が空でないか調べる	len(aSet) != 0
ヒストグラムの色をバリーウッドに指定する	plt.hist(データ列, color='burlywood')
文字列全体が正規表現にマッチするか見る	re.fullmatch(pattern, s)
データフレームを各列毎にグループ化して、列の平均値を求める	df.groupby(column)[column2].mean()
データ列が何秒か見る	ds.dt.second
辞書から最後の項目をポップする	aDict.popitem()
データフレームをグループ化し、それぞれの列に対し平均値を求める	df.groupby(column)[column2].mean()
データフレームのn行目を破壊的に削除する	df.drop(n, axis=0, inplace=True)
折れ線グラフのポイントマーカーを黄色くする	plt.plot(データ列, データ列2, marker='.', markerfacecolor='y')
プログラムの実行を強制的に終える	sys.exit()
日付データを文字列を使ってフォーマットする	"aDate.strftime(""%d/%m/%y"")"
プロットをプロットする準備をする	from sympy import N
データフレームの中で、列と列の重複を削除する	df.drop_duplicates(subset=column)
日付データが火曜日か調べる	aDate.weekday() == 1
配列とリストについて散布図を描画して、マーカーを星に変更する	plt.plot(xdata, ydata, marker='*')
八進文字列を整数に変換する	int(s, 8)
実数が正か	x > 0
ヒストグラムの範囲を設定する	plt.hist(データ列, range=(start, end))
文字列をカンマで区切って、列挙する	s.split(',')
イテラブルを文字列リストに変換してタブを用いて結合する	'\t'.join(map(str, iterable))
文字列中の大文字を小文字に変換する	s.lower()
データフレームのリストカラムの中にある文字列の合計を数える	df[aList].isin([value]).sum()
ヒストグラムを破線で描画する	plt.hist(データ列, linestyle='dashed')
データフレームの値をValueMapでまとめて置き換える	df.replace(ValueMap)
配列を四分位数ごとにビン分割する	pd.qcut(aArray, 4)
データ列の分	ds.dt.minute
線グラフを描画して、その色をライトグレーに設定する	plt.plot(データ列, データ列2, color='lightgray')
行列の演算をする	import numpy as np
空のタプル	()
折れ線グラフにサイズnのダイアモンドマーカーを描画する	plt.plot(データ列, データ列2, marker='D', markersize=n)
折れ線グラフの色をオリーブに設定する	plt.plot(データ列, データ列2, color='olive')
本日の日付時刻	datetime.datetime.now()
日付時刻データををn分後に進める	aDatetime + datetime.timedelta(minutes=n)
ダークゴールデンロッド色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkgoldenrod')
印字可能な文字を全部使う	string.printable
カウンタの項目を列挙する	aCounter.keys()
整数nを十六進文字列に変換する	hex(n)[2:]
リストとリストの暗いグラフを描画して、その色を黒にする	plt.plot(xdata, ydata, linestyle='dark', color='k')
横棒グラフを描いてグラフ幅をxに設定する	plt.barh(ラベル列, データ列, width=x)
＜オプション＞グラフの色をサドルブラウンに設定する	color = 'saddlebrown'
＜オプション＞ピンク色を使う	color = 'pink'
ヒストグラムの色をオーキッドに設定する	plt.hist(データ列, color='orchid')
折れ線グラフに赤いポイントマーカーを描画する	plt.plot(データ列, データ列2, marker='.', markerfacecolor='r')
＜オプション＞グラフの色をダーク・スラテグレーに設定する	color = 'darkslategrey'
ヒストグラムの色をライトスレイグレーに設定する	plt.hist(データ列, color='lightslategrey')
文字列がタプルに含まれないか調べる	element not in aTuple
＜オプション＞エラーを無視するように設定する	errors = 'ignore'
実数の仮数	math.frexp(x)[0]
ハニーデュー色のヒストグラムを描画する	plt.hist(データ列, color='honeydew')
折れ線グラフの色をオレンジに設定する	plt.plot(データ列, データ列2, color='orange')
グラフの凡例の位置を指定する	plt.legend(loc=(x, y))
ヒストグラムを描画して、その色をコーンズシルクに設定する	plt.hist(データ列, color='cornsilk')
データフレームの要約統計量	df.describe()
ファイルを読み込みモードでオープンする]	open(filepath, mode='r')
オブジェクトのプロパティの値	getattr(obj, プロパティ名)
ヒストグラムを描画して、その色をスラグレーに設定する	plt.hist(データ列, color='slategray')
配列を平坦化する	aArray.flatten()
折れ線グラフを描画して、その色をライトサーモンに設定する	plt.plot(データ列, データ列2, color='lightsalmon')
グラフをスライド用に設定する	sns.set(context='talk')
リストとリストの黒い色差別ないグラフを描画する	plt.plot(xdata, ydata, linestyle='colorblind', color='k')
散布図に淡い色のマーカーを使う	plt.plot(xdata, ydata, c='muted')
ファイルをオープンして]、読み込みストリームを使う	open(filepath, mode='r')
配列のデータ型	aArray.dtype()
空文字	''
配列を2次元1列に変形する	aArray.reshape(-1, 1)
日付時刻データと日付時刻データの時間差	aDatetime - aDatetime2
暗い色の折れ線グラフを描画し、、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='dark')
データフレームのカラムを小数点以下n桁で丸める	df[col].round(n)
グラフで使うy軸の軸ラベルをuntitledに変更する	plt.ylabel(untitled)
辞書に別の辞書の項目を追加する	aDict.update(aDict2)
散布図を黒い左三角マーカーで描画する	plt.plot(xdata, ydata, marker='<', c='k')
ヒストグラムを描画して、その色をミディアムオーキッドに設定する	plt.hist(データ列, color='mediumorchid')
データフレームの列の文字列長を列として使う	df[col].str.len()
マルーン色のヒストグラムを描画する	plt.hist(データ列, color='maroon')
＜オプション＞グラフの色を淡い茶色に変更する	color = 'tan'
コーラル色の線グラフを描画する	plt.plot(データ列, データ列2, color='coral')
イエローグリーン色のヒストグラムを描画する	plt.hist(データ列, color='yellowgreen')
淡いグラフの線幅を指定する	plt.plot(xdata, ydata, linestyle='muted', linewidth=n)
双方向キューの要素を右にn個分回転させる	deq.rotate(n)
＜オプション＞ライムグリーン色を使う	color = 'limegreen'
日付時刻データの日数	aDatetime.day
ヒストグラムを描画して、その色をコーンフラワーブルーに設定する	plt.hist(データ列, color='cornflowerblue')
ディムグレー色のヒストグラムを描画する	plt.hist(データ列, color='dimgray')
プラットホームがMacOSか調べる	sys.platform.startswith('darwin')
実線で折れ線グラフを描画する	plt.plot(データ列, データ列2, linestyle='solid')
ヒストグラムの色をチョコレートに設定する	plt.hist(データ列, color='chocolate')
最大値でデータフレームのカラムの未入力値を置換する	df[col].fillna(df[col].max())
オブジェクトの参照カウント	sys.getrefcount(obj)
データフレームを列で昇順にソートして、更新する	df.sort_values(by=column, ascending=True, inplace=True)
コマンドの第二引数を知る	sys.argv[1]
nがn2よりも大きいか調べる	n > n2
データフレームのカラムの欠損値を直前の値で埋める	df[col].fillna(method='ffill')
棒グラフを積み上げにする	"plt.bar(ラベル列, データ列, bottom=データ列2, color=""red"")"
配列を列方向に連結する	np.concatenate([aArray, aArray2], axis=0)
リストを配列に変換する	np.array(aList)
折れ線グラフの丸マーカーの線幅をnに設定する	plt.plot(データ列, データ列2, marker='o', markeredgewidth=n)
データ列の尖度	ds.skew()
x,y,zにそれぞれn,n2,n3を代入する	x, y, z = n, n2, n3
折れ線グラフに大きさnの三角マーカーを描画する	plt.plot(データ列, データ列2, marker='^', markersize=n)
折れ線グラフに大きさnのダイアモンドマーカーを描画する	plt.plot(データ列, データ列2, marker='D', markersize=n)
配列から重複を除いた配列を作る	np.unique(aArray)
ヒストグラムを描画して、その色をコーンズシルクにセットする	plt.hist(データ列, color='cornsilk')
リストとリストの青い明るいグラフを描画する	plt.plot(xdata, ydata, linestyle='bright', color='b')
データフレームのリストカラムを100の位で丸めて、整数型にする	df[aList].round(-2).astype(int)
折れ線グラフを描画して、その色をダークゴールデンロッドに設定する	plt.plot(データ列, データ列2, color='darkgoldenrod')
要素∈集合	element in aSet
スクリプトのファイルの名前	sys.argv[0]
データフレームのリストカラムの欠損値を最頻値に指定する	df[aList].fillna(df[aList].mode().iloc[0])
配列を等間隔でn個にビン分割する	pd.cut(aArray, n)
＜オプション＞シルバー色を使う	color = 'silver'
リストと配列で折れ線グラフを描いてその線幅をnに指定する	plt.plot(xdata, ydata, linewidth=n)
破壊的に大きい順に２つの列によってデータフレームを並べる	df.sort_values(by=['A', 'B'], ascending=False, inplace=True)
ヒストグラムを描画して、その色をダークマゼンタに指定する	plt.hist(データ列, color='darkmagenta')
データフレームの列の欠損値を後の行の値で置換する	df[col].fillna(method='bfill')
データフレームの欠損値を直前の値で埋める	df.fillna(method='ffill')
両端キューに要素をプッシュする	deq.append(element)
両端キューの先頭にイテラブルの各要素を追加する	deq.extendleft(iterable)
折れ線グラフを描画して、その色をブランチドアーモンドに設定する	plt.plot(データ列, データ列2, color='blanchedalmond')
配列を柱状図にする	plt.hist(aArray)
文字列リストをsepを区切りにしてひとつの文字列にする	sep.join(aStringList)
白色のヒストグラムを描画する	plt.hist(データ列, color='white')
グラフにy=0の一点鎖線を付ける	plt.axhline(y=0, linestyle='dashbot')
折れ線グラフを描画して、その色をライトシアンに設定する	plt.plot(データ列, データ列2, color='lightcyan')
データフレームの値が欠損値か調べる	df.isna()
データフレームの先頭n行を抽出する	df.head(n)
文字列中の部分文字列を新しい文字列に置き換える	s.replace(sub, newsub)
黒いバツマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='x', c='k')
配列の最小値	np.min(aArray)
JSON形式の文字列を読み込む	json.loads(jsonString)
リストを縦軸、リストを横軸と指定して、折れ線グラフを描画する	plt.plot(xdata, ydata)
昇順に'A'列を用いて破壊的にデータフレームをソートする	df.sort_values(by='A', ascending=True, inplace=True)
キーが辞書上で未定義か調べる	key not in aDict
＜オプション＞スレートブルーを使う	color = 'slateblue'
ヒストグラムの色をライトグリーンに設定する	plt.hist(データ列, color='lightgreen')
折れ線グラフを描画して、その色をナバホホワイトに設定する	plt.plot(データ列, データ列2, color='navajowhite')
リストとリストについての散布図にカラーコードのポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.', c=rgb)
折れ線グラフの色をスノーに設定する	plt.plot(データ列, データ列2, color='snow')
ラベンダー色の線グラフを描画する	plt.plot(データ列, データ列2, color='lavender')
集合から何でもいいからひとつ除去する	aSet.pop()
データフレームを二つの列によってソートして、更新する	df.sort_values(by=['A', 'B'], inplace=True)
グラフの描画でパステル調のカラーパレットを使う	sns.set(pallete='pastel')
三変数の最小値	min(x, y, z)
数式を簡略にする	sympy.sympify(e)
リストとリストについて散布図を描画して、マーカーを右三角に設定する	plt.plot(xdata, ydata, marker='>')
文字列を走査し、正規表現にASCII限定としてマッチするか見る	re.search(pattern, s, flags=re.ASCI)
＜オプション＞スラグレー色を使う	color = 'slategray'
データフレームを列によってソートして、NaNを先頭にする	df.sort_values(by=column, na_position='first')
＜オプション＞グラフの色をダークターコイズに設定する	color = 'darkturquoise'
データフレームを列によってソートして、下の方n件を取り出す	df.sort_values(columns).tail(n)
折れ線グラフを描画して、色をミディアムシアグリーンに変更する	plt.plot(データ列, データ列2, color='mediumseagreen')
文字列を部分文字列で区切って、文字列リストに変換する	s.split(sub)
折れ線グラフに大バツマーカーを加える	plt.plot(データ列, データ列2, marker='X')
データフレームをグループ化し、それぞれの列に対し最大値を求める	df.groupby(column)[column2].max()
本日が水曜日か調べる	datetime.datetime.today().weekday() == 2
ペルー色の線グラフを描画する	plt.plot(データ列, データ列2, color='peru')
タプルの先頭のn要素を取り除く	aTuple[n:]
ヒストグラムを描画して、その色をオリベドラブに設定する	plt.hist(データ列, color='olivedrab')
データフレームの列の一覧	df.info()
データ列を小数点以下n桁で丸める	ds.round(n)
データフレームが正規分布からどれだけ尖っているか見る	df.skew()
カデットブルー色の線グラフを描画する	plt.plot(データ列, データ列2, color='cadetblue')
折れ線グラフの四角マーカーを赤くする	plt.plot(データ列, データ列2, marker='s', markerfacecolor='r')
リストとリストについての散布図にバツマーカーを描画する	plt.plot(xdata, ydata, marker='x')
ヒストグラムを描画してその色をオーキッドに変更する	plt.hist(データ列, color='orchid')
行列の累積和	np.cumsum(aArray)
暗い赤色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkred')
リストを色差別ない色のヒストグラムで描画する	plt.hist(xdata, color='colorblind')
ヒストグラムを描画して、その色をインディゴに設定する	plt.hist(データ列, color='indigo')
＜オプション＞グラフの色をホットピンクに設定する	color = 'hotpink'
＜オプション＞ミディアムアクアマリン色を用いる	color = 'mediumaquamarine'
グラフを描画する準備をする	from sympy import N
折れ線グラフを描画して、その色をフォレストグリーンに設定する	plt.plot(データ列, データ列2, color='forestgreen')
配列をビン数nでビン分割する	pd.cut(aArray, n)
データフレームをJSONLファイルにヘッダを付けずに保存する	df.to_csv(filename, header=None)
＜オプション＞グラフの種類を破線に設定する	linestyle = 'dashed'
データフレームのカラムの月	df[col].dt.month
折れ線グラフの色を淡い茶色に変更する	plt.plot(データ列, データ列2, color='tan')
オリーブ色の線グラフを描画する	plt.plot(データ列, データ列2, color='olive')
ヒストグラムを描画して、その色をライトゴールドロディイエローに設定する	plt.hist(データ列, color='lightgoldenrodyellow')
リストのn番目に文字列を挿入する	aList.insert(n, element)
文字列を部分文字列で二分する	s.partition(sub)
リストをランダムにシャッフルする	random.shuffle(aList)
二つの辞書をチェーンする	collections.ChainMap(aDict, aDict2)
＜オプション＞グラフの色をダークカーキに設定する	color = 'darkkhaki'
＜オプション＞グラフの色を茶色に指定する	color = 'brown'
リストとリストのカラーコードの色差別ないグラフを描画する	plt.plot(xdata, ydata, linestyle='colorblind', color=rgb)
折れ線グラフを描画して、その色をホットピンクに設定する	plt.plot(データ列, データ列2, color='hotpink')
文字列がリストに含まれないか調べる	element not in aList
xの絶対値	abs(x)
全要素を０で初期化された３２ビット整数型の行列	np.zeros(行数, 列数, dtype=np.int16)
カウンタを辞書で更新する	aCounter.update(aDict)
データフレームのそれぞれのグループごとの合計	df.groupby(column).sum()
文字列の開始位置からと終了位置の間に部分文字列が含まれるかどうか調べる	s.find(sub, start, end) != -1
配列の標準偏差	np.std(aArray)
日付データが土曜日か調べる	aDate.weekday() == 5
配列とリストのカラーコードの濃いグラフを描画する	plt.plot(xdata, ydata, linestyle='deep', color=rgb)
＜オプション＞ライトグリーン色を使う	color = 'lightgreen'
イテラブルを文字列リストに変換して、部分文字列で連結する	sub.join(map(str, iterable))
カウンタ同士でユニオン	aCounter | aCounter2
ヒストグラムを描画して、その色を小麦色に設定する	plt.hist(データ列, color='wheat')
タプルを引数として展開して表示する	print(*aTuple)
＜オプション＞バイナリモードに設定する	mode = 'rb'
タプルの最初の文字列を探す	aTuple.index(element)
乱数シードをnで初期化する	random.seed(n)
辞書のキーに対応した値	aDict.get(key)
カウンタをイテラブルで更新する	aCounter.update(iterable)
データ列をビン数nでビン分割する	pd.cut(ds, n)
実数以上の最小の整数	math.ceil(x)
＜オプション＞グラフの色をフクシアに指定する	color = 'fuchsia'
小麦色色のヒストグラムを描画する	plt.hist(データ列, color='wheat')
＜オプション＞ライトシアン色を使う	color = 'lightcyan'
リストとリストのカラーコードの暗いグラフを描画する	plt.plot(xdata, ydata, linestyle='dark', color=rgb)
JSON形式の文字列を辞書に変換する	json.loads(jsonString)
ヒストグラムを描画して、その色をダークオリーブグリーンに設定する	plt.hist(データ列, color='darkolivegreen')
空白で文字列を最後から区切る	s.rsplit()
表データを'A'列によって並べる	df.sort_values(by='A')
エンコーディング	sys.getdefaultencoding()
ヒストグラムの色をサンディーブラウンにする	plt.hist(データ列, color='sandybrown')
文字列を太字でプリントする	print(f'\033[1m{value}\033[0m')
▲マーカーで散布図を描く	plt.plot(xdata, ydata, marker='^')
黄色い折れ線グラフを描画する	plt.plot(データ列, データ列2, color='y')
折れ線グラフを描画して、その色をパパイヤウィップに設定する	plt.plot(データ列, データ列2, color='papayawhip')
文字列中の部分文字列を別の文字列に全部置き換える	s.replace(sub, newsub)
キューの要素を逆順にする	deq.reverse()
破線の色をパステル調のに指定する	plt.plot(xdata, ydata, linestyle='dash', color='pastel')
変数をスワップする	x, y = y, x
既存のファイルをBOM付きで追加できるようにオープンする]	open(filepath, mode='a', encoding='utf_8_sig')
標準出力を用いる	sys.stdout
赤色の線グラフを描画する	plt.plot(データ列, データ列2, color='red')
文字列の接尾辞から部分文字列を取り除く	s.removesuffix(sub)
＜オプション＞小麦色色を使う	color = 'wheat'
データフレームを表示するとき、表示可能な最大行数をnに設定する	pd.set_option('display.max_rows', n)
線グラフの色をパールバイオレットレッドに設定する	plt.plot(データ列, データ列2, color='palevioletred')
文字列内にひとつでも小文字が含まれるか調べる	any(c.islower() for c in s)
ヒストグラムを描画して、その色をミディアムスレートブルーに設定する	plt.hist(データ列, color='mediumslateblue')
ヒストグラムを二つ並べて描画する	plt.hist([データ列, データ列2], color=['b', 'r'])
ヒストグラムの色を紺にセットする	plt.hist(データ列, color='darkblue')
