エラーメッセージ<tab>コード	原因<tab>解決策
KeyError: ('通勤', '教員')<tab>X = df['通勤', '教員']  # 説明変数	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
"KeyError: ""None of [Index(['犯罪数'], dtype='object')] are in the [columns]""<tab>X = df[['犯罪数']]"	データフレームdfに列'犯罪数'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
UsageError: Cell magic `%%atcoderhttps://atcoder.jp/contests/abc111/tasks/abc111_a` not found.<tab>get_ipython().run_cell_magic('atcoderhttps://atcoder.jp/contests/abc111/tasks/abc111_a', '', 'n=str(input())\nprint(n.replace(1,9))')	%%atcoderの使い方が違う<tab>%%atcoder<半角スペース><問題のURL> に直す
TypeError: '(['week_num'], ['weather_num'], ['temperature'], ['kcal'])' is an invalid key<tab>X = df[['week_num'],['weather_num'],['temperature'],['kcal']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
TypeError: __init__() got an unexpected keyword argument 'figuresize'<tab>plt.figure(figuresize=(6,6))	figuresizeではグラフのサイズを指定できない<tab>plt.figure(figsize=...)に直す
"KeyError: ""['weather_num'] not in index""<tab>df[['week','weather_num','temperature']]"	データフレームdfに列'weather_num'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: str() takes at most 3 arguments (4 given)<tab>S,T,U,V=str(s,t,u,v)	str関数は1つの値にしかできていません<tab>str(1つの値)またstr([複数の値])で文字列に変換する
NameError: name 'mean_lists' is not defined<tab>mean_list_all.append(mean_lists)	mean_listsが見つからない<tab>mean_lists=...のように定義する
ValueError: invalid literal for int() with base 10: 'dIfFiCuLt'<tab>X = int(input())	文字列'dIfFiCuLt'はint型に変換できない<tab>int(input())をinput()に直す
TypeError: __init__() got an unexpected keyword argument 'random_dtate'<tab>model = GradientBoostingRegressor(random_dtate=0)	random_dtateはスペルミス<tab>random_state=...に直す
ValueError: invalid literal for int() with base 10: '--1000000000'<tab>a,b,c,d=map(int,input().split())	map関数を用いているが入力データが1つしかない<tab>4つの値を入力する
TypeError: unsupported operand type(s) for ^: 'int' and 'float'<tab>x=a^2+b^2-2*a*b*e	累乗の演算子が^になっている<tab>^を**に直す
NameError: name 'mode_L' is not defined<tab>y_train_pred= mode_L.predict(X)	mode_Lが見つからない<tab>mode_L=...のように定義する
NameError: name 'figsize' is not defined<tab>plt.figure(figsize[7,7])	figsizeの使い方が違う<tab>figsize=(値,値)のようにする
"KeyError: ""['tempreture'] not in index""<tab>df[['kcal','weather_num','tempreture']]"	データフレームdfに列'tempreture'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: 'list' object has no attribute 'max'<tab>print(r2.max())	リストに対するmaxの使い方が違う<tab>max(リスト名)にする
ImportError: cannot import name 'RandomForestRegresso' from 'sklearn.ensemble' (/usr/local/lib/python3.7/dist-packages/sklearn/ensemble/__init__.py)<tab>from sklearn.ensemble import RandomForestRegresso	RandomForestRegressoはスペルミス<tab>RandomForestRegressoをRandomForestRegressorに直す
NameError: name 'sample_list' is not defined<tab>mean_lists = [mean_list(S[k]) for k in range(len(sample_list))]	sample_listが見つからない<tab>sample_listを定義する
AttributeError: 'Series' object has no attribute 'discribe'<tab>df['kcal'].discribe()	discribeのスペルが違う<tab>discribeをdescribe に直す
EOFError:<tab>N=int(input())	入力データがない<tab>入力データを作る
NameError: name 'ceil' is not defined<tab>X=ceil(N/2)	mathモジュールを使っていない<tab>import mathして、math.ceil()と書く
NameError: name 'X_train_name' is not defined<tab>print('name の訓練データ数：',len(X_train_name))	変数X_train_nameが見つからない<tab>X_train_name=...のように定義する
ValueError: Length mismatch: Expected axis has 1601 elements, new values have 41 elements<tab>df_uid_all.columns = column_list	元のデータフレームは1601列だけど与えられた要素は41個しかない<tab>要素を1601個にしよう
TypeError: '<' not supported between instances of 'list' and 'int'<tab>while ma<w:	list型とint型で比較演算子は使えない<tab>型を揃えて比較する
ValueError: Found input variables with inconsistent numbers of samples: [152, 354]<tab>print('R2(訓練):', r2_score(y_train, model.predict(X_train)))	y_trainとmodel.predict(X_train)のデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
NameError: name 'describe' is not defined<tab>describe(X_train_pr_name)	データフレームを忘れている<tab>データフレーム名.describe()にする
NameError: name 'SS' is not defined<tab>print(SS)	変数SSが見つからない<tab>SS=...のように定義する
NameError: name 'soldout' is not defined<tab>X = df[df.columns[soldout,kcal,payday,temperature]]	変数soldoutが見つからない<tab>soldout=...のように定義する
FileNotFoundError: [Errno 2] No such file or directory: 'drive/my-drive/nuna-chan/train_Numa_print.csv'<tab>X_train_numa_p = pd.read_csv('drive/my-drive/nuna-chan/train_Numa_print.csv')	drive/my-drive/nuna-chan/train_Numa_print.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name 'sin' is not defined<tab>sin(1)	mathモジュールを使っていない<tab>import mathして、math.sin()と書く
AttributeError: 'list' object has no attribute 'reshape'<tab>x = x.reshape(-1, 1) # sklearn 用に変形	xはリストだからreshapeは使えない<tab>x = np.array(x) で配列にしてから使う
TypeError: __init__() got an unexpected keyword argument 'maxdeepth'<tab>model = DecisionTreeRegressor(maxdeepth=3)	maxdeepthはスペルミス<tab>max_depth=...に直す
AttributeError: 'LinearRegression' object has no attribute 'tree_'<tab>plot_tree(model, feature_names=X.columns, filled=True)	LinearRegressionにplot_treeを使用できない<tab>modelを見直す
"UsageError: Cell magic `%%atcoderhttps://atcoder.jp/contests/abc171/tasks/abc171_` not found.<tab>get_ipython().run_cell_magic('atcoderhttps://atcoder.jp/contests/abc171/tasks/abc171_', '', ""s = 'A'\n'A' <= s <= 'Z'"")"	問題番号がない<tab>URLを見直してURLを正しく書く
TypeError: Neither the `x` nor `y` variable appears to be numeric.<tab>sns.boxplot(x=df['父職業'],y=['G3'],order=order_by)	y の書き方が違う<tab>y=df['G3'] に直す
TypeError: unsupported operand type(s) for -: 'int' and 'list'<tab>ans +=j *a[j]-sum_a	int型とlist型の加算はできない<tab>import numpy as npをし、sum_aをnp.array(sum_a)に変換する
NameError: name 'train' is not defined<tab>train['week'].value_counts()	データフレームtrainが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
"ValueError: Length mismatch: Expected axis has 11 elements, new values have 8 elements<tab>df_uid_pr.columns = [""uid"", ""p"", ""r"", ""i"", ""n"", ""t"", ""Shift"", ""(""]"	元のデータフレームは11列だけど与えられた要素は8個しかない<tab>要素を11個にしよう
NameError: name 'DecisionTreerRegressor' is not defined<tab>model = DecisionTreerRegressor()	DecisionTreerRegressorが見つからない<tab>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
AttributeError: 'LinearRegression' object has no attribute 'preddict'<tab>y_pred=model.preddict(X)	predictのスペルが違う<tab>preddictをpredictに直す
ValueError: invalid literal for int() with base 10: '1t'<tab>A,B=map(int,input().split())	入力にint型ではなく、文字列が含まれている<tab>入力データ見直す
TypeError: '(['week_num'], ['weather_num'], ['temperature'])' is an invalid key<tab>X = df[['week_num'],['weather_num'],['temperature']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
"KeyError: ""None of [Index(['価格'], dtype='object')] are in the [columns]""<tab>X = df[['価格']]  # ひとつ選ぶ"	データフレームdfに列'価格'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: int() argument must be a string, a bytes-like object or a number, not 'list'<tab>t=t+int([st[1]])	intの中の書き方が違う<tab>t=t+int(st[1])
TypeError: remove() takes exactly one argument (2 given)<tab>r=s.remove(0,2)	remove()の引数は1つしか入れられないが2つ入ってしまっている<tab>1つずつ削除する
"KeyError: ""['完売フラグ'] not in index""<tab>X = df[['完売フラグ','気温']]  # 価格以外を全て説明変数に"	データフレームdfに列'完売フラグ'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name 'de' is not defined<tab>for column in de.columns[:-1]:	変数deが見つからない<tab>de=...のように定義する
KeyError: 'weel'<tab>df['weel'].map({	データフレームdfに列'weel'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: unsupported operand type(s) for -: 'str' and 'int'<tab>df.columns -1	str型とint型の減算はできない<tab>df.columnの型を見直し数値型にする
ValueError: invalid literal for int() with base 10: '80 60 40 0'<tab>if int(a[j]) < P:	a[j]には複数の値が存在する<tab>intの中にを1つの引数にする
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'<tab>x=A**b	Aが文字列型になっている<tab>Aの型を数値型にする
NameError: name 'DecisionTreeRegressor' is not defined<tab>model = DecisionTreeRegressor()	DecisionTreeRegressorが見つからない<tab>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
"ValueError: Expected 2D array, got 1D array instead:
array=[6.32000e-03 2.73100e-02 2.72900e-02 3.23700e-02 6.90500e-02 2.98500e-02
 8.82900e-02 1.44550e-01 2.11240e-01 1.70040e-01 2.24890e-01 1.17470e-01
 9.37800e-02 6.29760e-01 6.37960e-01 6.27390e-01 1.05393e+00 7.84200e-01
 8.02710e-01 7.25800e-01 1.25179e+00 8.52040e-01 1.23247e+00 9.88430e-01
 7.50260e-01 8.40540e-01 6.71910e-01 9.55770e-01 7.72990e-01 1.00245e+00
 1.13081e+00 1.35472e+00 1.38799e+00 1.15172e+00 1.61282e+00 6.41700e-02
 9.74400e-02 8.01400e-02 1.75050e-01 2.76300e-02 3.35900e-02 1.27440e-01
 1.41500e-01 1.59360e-01 1.22690e-01 1.71420e-01 1.88360e-01 2.29270e-01
 2.53870e-01 2.19770e-01 8.87300e-02 4.33700e-02 5.36000e-02 4.98100e-02
 1.36000e-02 1.31100e-02 2.05500e-02 1.43200e-02 1.54450e-01 1.03280e-01
 1.49320e-01 1.71710e-01 1.10270e-01 1.26500e-01 1.95100e-02 3.58400e-02
 4.37900e-02 5.78900e-02 1.35540e-01 1.28160e-01 8.82600e-02 1.58760e-01
 9.16400e-02 1.95390e-01 7.89600e-02 9.51200e-02 1.01530e-01 8.70700e-02
 5.64600e-02 8.38700e-02 4.11300e-02 4.46200e-02 3.65900e-02 3.55100e-02
 5.05900e-02 5.73500e-02 5.18800e-02 7.15100e-02 5.66000e-02 5.30200e-02
 4.68400e-02 3.93200e-02 4.20300e-02 2.87500e-02 4.29400e-02 1.22040e-01
 1.15040e-01 1.20830e-01 8.18700e-02 6.86000e-02 1.48660e-01 1.14320e-01
 2.28760e-01 2.11610e-01 1.39600e-01 1.32620e-01 1.71200e-01 1.31170e-01
 1.28020e-01 2.63630e-01 1.07930e-01 1.00840e-01 1.23290e-01 2.22120e-01
 1.42310e-01 1.71340e-01 1.31580e-01 1.50980e-01 1.30580e-01 1.44760e-01
 6.89900e-02 7.16500e-02 9.29900e-02 1.50380e-01 9.84900e-02 1.69020e-01
 3.87350e-01 2.59150e-01 3.25430e-01 8.81250e-01 3.40060e-01 1.19294e+00
 5.90050e-01 3.29820e-01 9.76170e-01 5.57780e-01 3.22640e-01 3.52330e-01
 2.49800e-01 5.44520e-01 2.90900e-01 1.62864e+00 3.32105e+00 4.09740e+00
 2.77974e+00 2.37934e+00 2.15505e+00 2.36862e+00 2.33099e+00 2.73397e+00
 1.65660e+00 1.49632e+00 1.12658e+00 2.14918e+00 1.41385e+00 3.53501e+00
 2.44668e+00 1.22358e+00 1.34284e+00 1.42502e+00 1.27346e+00 1.46336e+00
 1.83377e+00 1.51902e+00 2.24236e+00 2.92400e+00 2.01019e+00 1.80028e+00
 2.30040e+00 2.44953e+00 1.20742e+00 2.31390e+00 1.39140e-01 9.17800e-02
 8.44700e-02 6.66400e-02 7.02200e-02 5.42500e-02 6.64200e-02 5.78000e-02
 6.58800e-02 6.88800e-02 9.10300e-02 1.00080e-01 8.30800e-02 6.04700e-02
 5.60200e-02 7.87500e-02 1.25790e-01 8.37000e-02 9.06800e-02 6.91100e-02
 8.66400e-02 2.18700e-02 1.43900e-02 1.38100e-02 4.01100e-02 4.66600e-02
 3.76800e-02 3.15000e-02 1.77800e-02 3.44500e-02 2.17700e-02 3.51000e-02
 2.00900e-02 1.36420e-01 2.29690e-01 2.51990e-01 1.35870e-01 4.35710e-01
 1.74460e-01 3.75780e-01 2.17190e-01 1.40520e-01 2.89550e-01 1.98020e-01
 4.56000e-02 7.01300e-02 1.10690e-01 1.14250e-01 3.58090e-01 4.07710e-01
 6.23560e-01 6.14700e-01 3.15330e-01 5.26930e-01 3.82140e-01 4.12380e-01
 2.98190e-01 4.41780e-01 5.37000e-01 4.62960e-01 5.75290e-01 3.31470e-01
 4.47910e-01 3.30450e-01 5.20580e-01 5.11830e-01 8.24400e-02 9.25200e-02
 1.13290e-01 1.06120e-01 1.02900e-01 1.27570e-01 2.06080e-01 1.91330e-01
 3.39830e-01 1.96570e-01 1.64390e-01 1.90730e-01 1.40300e-01 2.14090e-01
 8.22100e-02 3.68940e-01 4.81900e-02 3.54800e-02 1.53800e-02 6.11540e-01
 6.63510e-01 6.56650e-01 5.40110e-01 5.34120e-01 5.20140e-01 8.25260e-01
 5.50070e-01 7.61620e-01 7.85700e-01 5.78340e-01 5.40500e-01 9.06500e-02
 2.99160e-01 1.62110e-01 1.14600e-01 2.21880e-01 5.64400e-02 9.60400e-02
 1.04690e-01 6.12700e-02 7.97800e-02 2.10380e-01 3.57800e-02 3.70500e-02
 6.12900e-02 1.50100e-02 9.06000e-03 1.09600e-02 1.96500e-02 3.87100e-02
 4.59000e-02 4.29700e-02 3.50200e-02 7.88600e-02 3.61500e-02 8.26500e-02
 8.19900e-02 1.29320e-01 5.37200e-02 1.41030e-01 6.46600e-02 5.56100e-02
 4.41700e-02 3.53700e-02 9.26600e-02 1.00000e-01 5.51500e-02 5.47900e-02
 7.50300e-02 4.93200e-02 4.92980e-01 3.49400e-01 2.63548e+00 7.90410e-01
 2.61690e-01 2.69380e-01 3.69200e-01 2.53560e-01 3.18270e-01 2.45220e-01
 4.02020e-01 4.75470e-01 1.67600e-01 1.81590e-01 3.51140e-01 2.83920e-01
 3.41090e-01 1.91860e-01 3.03470e-01 2.41030e-01 6.61700e-02 6.72400e-02
 4.54400e-02 5.02300e-02 3.46600e-02 5.08300e-02 3.73800e-02 3.96100e-02
 3.42700e-02 3.04100e-02 3.30600e-02 5.49700e-02 6.15100e-02 1.30100e-02
 2.49800e-02 2.54300e-02 3.04900e-02 3.11300e-02 6.16200e-02 1.87000e-02
 1.50100e-02 2.89900e-02 6.21100e-02 7.95000e-02 7.24400e-02 1.70900e-02
 4.30100e-02 1.06590e-01 8.98296e+00 3.84970e+00 5.20177e+00 4.26131e+00
 4.54192e+00 3.83684e+00 3.67822e+00 4.22239e+00 3.47428e+00 4.55587e+00
 3.69695e+00 1.35222e+01 4.89822e+00 5.66998e+00 6.53876e+00 9.23230e+00
 8.26725e+00 1.11081e+01 1.84982e+01 1.96091e+01 1.52880e+01 9.82349e+00
 2.36482e+01 1.78667e+01 8.89762e+01 1.58744e+01 9.18702e+00 7.99248e+00
 2.00849e+01 1.68118e+01 2.43938e+01 2.25971e+01 1.43337e+01 8.15174e+00
 6.96215e+00 5.29305e+00 1.15779e+01 8.64476e+00 1.33598e+01 8.71675e+00
 5.87205e+00 7.67202e+00 3.83518e+01 9.91655e+00 2.50461e+01 1.42362e+01
 9.59571e+00 2.48017e+01 4.15292e+01 6.79208e+01 2.07162e+01 1.19511e+01
 7.40389e+00 1.44383e+01 5.11358e+01 1.40507e+01 1.88110e+01 2.86558e+01
 4.57461e+01 1.80846e+01 1.08342e+01 2.59406e+01 7.35341e+01 1.18123e+01
 1.10874e+01 7.02259e+00 1.20482e+01 7.05042e+00 8.79212e+00 1.58603e+01
 1.22472e+01 3.76619e+01 7.36711e+00 9.33889e+00 8.49213e+00 1.00623e+01
 6.44405e+00 5.58107e+00 1.39134e+01 1.11604e+01 1.44208e+01 1.51772e+01
 1.36781e+01 9.39063e+00 2.20511e+01 9.72418e+00 5.66637e+00 9.96654e+00
 1.28023e+01 1.06718e+01 6.28807e+00 9.92485e+00 9.32909e+00 7.52601e+00
 6.71772e+00 5.44114e+00 5.09017e+00 8.24809e+00 9.51363e+00 4.75237e+00
 4.66883e+00 8.20058e+00 7.75223e+00 6.80117e+00 4.81213e+00 3.69311e+00
 6.65492e+00 5.82115e+00 7.83932e+00 3.16360e+00 3.77498e+00 4.42228e+00
 1.55757e+01 1.30751e+01 4.34879e+00 4.03841e+00 3.56868e+00 4.64689e+00
 8.05579e+00 6.39312e+00 4.87141e+00 1.50234e+01 1.02330e+01 1.43337e+01
 5.82401e+00 5.70818e+00 5.73116e+00 2.81838e+00 2.37857e+00 3.67367e+00
 5.69175e+00 4.83567e+00 1.50860e-01 1.83370e-01 2.07460e-01 1.05740e-01
 1.11320e-01 1.73310e-01 2.79570e-01 1.78990e-01 2.89600e-01 2.68380e-01
 2.39120e-01 1.77830e-01 2.24380e-01 6.26300e-02 4.52700e-02 6.07600e-02
 1.09590e-01 4.74100e-02].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
NameError: name 'ans' is not defined<tab>(ans) == b	変数ansが見つからない<tab>ans=...のように定義する
NameError: name 'DecisionTreeRegressior' is not defined<tab>model = DecisionTreeRegressior()	DecisionTreeRegressiorが見つからない<tab>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
ValueError: invalid literal for int() with base 10: '5 3 20 15'<tab>N,A,X,Y=int(input())	'5 3 20 15'はint型に変換できない<tab>int(input())をmap(int,input().split())に直す
NameError: name 'colum' is not defined<tab>print(colum)	変数columが見つからない<tab>colum=...のように定義する
NameError: name 'fit' is not defined<tab>model,fit(X_train,y_train)	fitの使い方が違う<tab>カンマ, をピリオド. に直す
NameError: name 'n0' is not defined<tab>if X%100==0 and X==n0:	変数n0が見つからない<tab>n0=...のように定義する
"FileNotFoundError: [Errno 2] No such file or directory: '/Users/shion/Desktop/OJT/numa-chan/train_Numa_print.csv'<tab>X_train_numa_p = pd.read_csv(""/Users/shion/Desktop/OJT/numa-chan/train_Numa_print.csv"")"	/Users/shion/Desktop/OJT/numa-chan/train_Numa_print.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
AttributeError: 'LinearRegression' object has no attribute 'feature_importances_'<tab>model.feature_importances_	LinearRegressionではmodel.feature_importances_は使えない<tab>モデルをDecisionTreeRegressorに変える
NameError: name 'DecisionTreerRegression' is not defined<tab>model = DecisionTreerRegression()	DecisionTreerRegressionが見つからない<tab>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
NameError: name 'srt' is not defined<tab>s,t=map(srt,input().split())	strのスペルが違う<tab>strのように直す
NameError: name 'df_train_pr_any' is not defined<tab>X_train_pr_any = pd.DataFrame(df_train_pr_any)	データフレームdf_train_pr_anyが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
"KeyError: ""['precipitstion_num'] not in index""<tab>X = df[['temperature','soldout','precipitstion_num']]"	データフレームdfに列'precipitstion_num'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
KeyError: '女性'<tab>plt.hist(df['女性'])	データフレームdfに列'女性'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""None of [Index(['低所得理宇t'], dtype='object')] are in the [columns]""<tab>X = df[['低所得理宇t']]  # ひとつ選ぶ"	データフレームdfに列'低所得理宇t'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: invalid literal for int() with base 10: '3 7'<tab>X=int(input())	複数の入力データを読み込めない<tab>int(input())をmap(int,input().split())に直す
ValueError: Found input variables with inconsistent numbers of samples: [354, 152]<tab>print('R2(テスト):', r2_score(y_train, y_pred))	y_trainとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
AttributeError: 'PathCollection' object has no property 'alpa'<tab>plt.scatter(df['部屋数'], df['住宅価格'],alpa=0.5)	alphaのスペルが違う<tab>alpaをalphaに直す
NameError: name 'prit' is not defined<tab>prit(a,c)	printのスペルが違う<tab>printに直す
"ValueError: Length mismatch: Expected axis has 8 elements, new values have 11 elements<tab>df_uid_pr.columns = [""uid"", 'a', 'b', 'c', 'd', 'e', 'f', 'g','h','i','j']"	元のデータフレームは8列だけど与えられた要素は11個ある<tab>要素を11個にしよう
FileNotFoundError: [Errno 2] No such file or directory: 'train_Numa_print.csv'<tab>X_train_numa_p = pd.read_csv('train_Numa_print.csv')	train_Numa_print.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
TypeError: '>' not supported between instances of 'str' and 'int'<tab>if N > 4:	str型とint型で比較演算子は使えない<tab>型を揃えて比較する
TypeError: 'builtin_function_or_method' object is not iterable<tab>a,b=map(int,input().split)	()が不足している<tab>map(int,iunput().split())にする
NameError: name 'y_predf' is not defined<tab>plt.scatter(y,y_predf, color='red',alpha=0.3)	変数y_predfが見つからない<tab>y_predf=...のように定義する
AttributeError: 'DecisionTreeRegressor' object has no attribute 'feature_inportances_'<tab>model.feature_inportances_	importances_のスペルが違う<tab>inportances_をimportances_に直す
NameError: name 'replace' is not defined<tab>print(replace((S[0],S[-1])(S[1],S[0])))	"replaceのコードが違う<tab>S.replace(""A"",""a"").replace(""B"",""b"")で置換する"
NameError: name 'y_pred' is not defined<tab>print(y_pred)	変数y_predが見つからない<tab>y_pred=...のように定義する
ValueError: invalid literal for int() with base 10: '123,122'<tab>A,B=map(int, input().split())	区切り文字の設定が','になっていない<tab>map(int,input().split())をmap(int,input().split(','))に直す
NameError: name 'make_mean_list' is not defined<tab>mean_list_all = make_mean_list(sample_list, df_keys['keys'])	変数make_mean_listが見つからない<tab>make_mean_listのスペルの確認やmake_mean_list=...で定義する
NameError: name 'df' is not defined<tab>plt.scatter(df['部屋数'], df['住宅価格'])	データフレームdfが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
TypeError: unsupported operand type(s) for *: 'range' and 'range'<tab>print(x*y)	x,yがrange型になっている<tab>x,yの型を数値型にする
"KeyError: ""None of [Index(['川辺'], dtype='object')] are in the [columns]""<tab>X = df[['川辺']] #一つ選ぶ"	データフレームdfに列'川辺'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ImportError: cannot import name 'KNeighborsRegressor' from 'sklearn.ensemble' (/usr/local/lib/python3.7/dist-packages/sklearn/ensemble/__init__.py)<tab>from sklearn.ensemble import KNeighborsRegressor	import元が異なる<tab>from sklearn.neighbors import KNeighborsRegressorでimportする
KeyError: '販売数'<tab>y = df['販売数']	データフレームdfに列'販売数'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: 'LinearRegression' object has no attribute 'fix'<tab>model.fix(X,y)	model.fitのスペルが違う<tab>model.fixをmodel.fitに直す
KeyError: '住宅価格'<tab>y = df['住宅価格']	データフレームdfに列'住宅価格'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""['犯罪'] not in index""<tab>X = df[['犯罪', '工場']]  # 説明変数"	データフレームdfに列'犯罪'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""None of [Index(['column'], dtype='object')] are in the [columns]""<tab>X = df[['column']]  # ひとつ選ぶ"	データフレームdfに列'column'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: 'dict' object has no attribute 'add'<tab>A.add(x[2:])	dict型にaddは使用できない<tab>A[キー] = 要素でdict型に要素を追加できる
TypeError: make_mean_list() takes 2 positional arguments but 3 were given<tab>mean_list_all = make_mean_list(sample_list, df_keys['keys'],df_keys)	関数 make_mean_list() は2つしか引数を取らないが、3つ入れてしまっている<tab>引数を2つにする
NameError: name 'コギーマジで嫌い' is not defined<tab>コギーマジで嫌い	日本語文を入力した<tab>日本語文を入力しない
KeyError: '教育内容'<tab>plt.boxplot([df['教育内容'], df['通いやすさ'], df['評判の良さ']])	データフレームdfに列'教育内容'は見つからない<tab>列名あるいはデータフレーム名を確認して直す
"ValueError: Expected 2D array, got 1D array instead:
array=[19.8 17.  15.5 15.2 16.1 14.6 17.9 14.7 17.7 12.1 13.8 13.9 13.5 13.8
 14.9  9.1  7.1 11.  12.3 13.9 11.3 10.8  7.8  6.8  8.4 11.5  8.   7.3
  7.3  9.8 10.9  5.1  5.8  2.9  7.   7.8  6.5 10.4  7.4  8.5 10.1  5.1
 12.6 10.3 15.3 14.1 15.9  3.8  3.   4.2  5.5  7.8  6.3  6.4  1.2 11.6
  6.8  7.3  5.4  8.5  6.6 10.5 11.5  8.5 17.7  7.8  8.3  6.1  6.7  7.
  7.6  8.7 14.8 15.2 11.5 14.  18.9 12.6  7.5 17.4 18.9 18.7 12.4 18.5
 17.5 16.1 18.2 14.3 17.8 13.8 20.1 19.  21.3 16.5 16.4 19.7 21.5 20.1
 11.4 16.4 18.8 19.4 19.9 20.8 22.7 17.5 24.  23.3 18.9 21.  23.4 22.7
 18.6 26.  19.3 23.8 22.8 23.9 17.4 19.  19.8 23.9 23.7 25.7 26.  26.9
 30.6 27.  27.5 21.5 19.9 25.  25.5 22.3 21.3 29.5 28.1 27.6 21.9 27.5
 26.5 26.9 23.7 25.2 25.2 25.4 25.5 28.3 28.8 27.  22.1 24.  29.7 24.6
 28.8 33.9 30.9 30.3 30.9 30.1 25.6 30.2 32.  32.5 33.6 28.9 30.4 30.6
 32.5 32.7 32.7 34.3 34.6 32.1 31.1 32.4 29.4 32.2 33.3 33.3 33.  33.1
 26.  26.2 21.  21.6 25.1 23.4 29.1 26.7 26.5 30.2 23.1 26.8 25.  21.9
 27.3 28.8 25.  24.1 23.6 25.2 24.8 25.4 27.1 26.6 28.1].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>d"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
"KeyError: ""['教育比'] not in index""<tab>X = df[['部屋数', '教育比', '資産税']]"	データフレームdfに列'教育比'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name 'g3' is not defined<tab>plt.hist(df['性別'],df[g3])	変数g3が見つからない<tab>g3=...のように定義する
NameError: name 'Nan' is not defined<tab>means = Nan	変数Nanが見つからない<tab>Nan=...のように定義する
TypeError: '(['week'], ['weatherr'], ['kcal'])' is an invalid key<tab>X = df[['week'],['weatherr'],['kcal']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
"UsageError: Cell magic `%%actcoder` not found.<tab>get_ipython().run_cell_magic('actcoder', 'https://atcoder.jp/contests/abc168/tasks/abc168_b', 'K=int(input())\nS=str(input())\np=S[0:K]\ns=len(S)\nif s<=K:\n  print(S)\nelse:\n  print(p,end="""",\'...\')')"	%%atcoderのスペルが違う<tab>%%actcoderを%%atcoderに直す
NameError: name 'X_c1_any_p' is not defined<tab>X_train_c1_any_p, X_test_c1_any_p= train_test_split(X_c1_any_p, test_size=0.3, random_state=0)	変数X_c1_any_pが見つからない<tab>X_c1_any_p=...のように定義する
NameError: name 'X_train' is not defined<tab>model.fit(X_train,y_train)	変数X_trainが見つからない<tab>X_train=...のように定義する
ValueError: Input contains NaN, infinity or a value too large for dtype('float64').<tab>model.fit(X_train, y_train)	NANやinfが含まれている<tab>指定した列を確認する
NameError: name 'Lineararegression' is not defined<tab>model=Lineararegression()	LinearRegressionのスペルが違う<tab>LineararegressionをLinearRegressionに直す
TypeError: can't multiply sequence by non-int of type 'str'<tab>print(int(A * B))	str型変数は掛け算できない<tab>変数A,Bどちらも数値型にする
